split,contrast,model_a,model_b,tier,learner_matched,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero,note
cv,deephit - nfg,deephit,nfg,secondary,False,10,e90_smoothfg,0.0026124762944529935,-0.013449222755271077,-0.008740476375938075,-0.0007385324424871798,0.005963485031393167,0.0016956067856665796,0.456863969404663,146.50415266345715,30,True,"Both are competing-risk deep models fitted as 10-member ensembles, so this contrast isolates the training objective (ranking-weighted likelihood versus a monotone cumulative-incidence parameterisation) rather than the competing-risk assumption. Not learner-matched in the sense used for the naive-versus-competing pairs."
cv,deephit - nfg,deephit,nfg,secondary,False,10,e90_smoothcsh,-0.0015248637296087298,-0.01320110374957384,-0.00865398823257073,-0.003939788599119117,0.0008900611399016577,0.0012000378130612,0.8285177212378156,46.446127845735134,30,True,"Both are competing-risk deep models fitted as 10-member ensembles, so this contrast isolates the training objective (ranking-weighted likelihood versus a monotone cumulative-incidence parameterisation) rather than the competing-risk assumption. Not learner-matched in the sense used for the naive-versus-competing pairs."
cv,deephit - nfg,deephit,nfg,secondary,False,10,e90_smoothnet,-0.012503724224461192,-0.01482933163674009,-0.010597488479115829,-0.014617798554998652,-0.010389649893923731,0.001043690185801401,0.9276175726063559,37.33634563138711,30,True,"Both are competing-risk deep models fitted as 10-member ensembles, so this contrast isolates the training objective (ranking-weighted likelihood versus a monotone cumulative-incidence parameterisation) rather than the competing-risk assumption. Not learner-matched in the sense used for the naive-versus-competing pairs."
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,ici_smoothfg,0.006651506639639713,0.0062132743810682485,0.0070367946336721676,0.006217025657017254,0.0070859876222621725,0.00022163170190161113,0.04233298957643769,5789.761061496976,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,ici_smoothcsh,0.006673877285625364,0.006244549413587725,0.007058790797741344,0.006243360565129509,0.007104394006121218,0.00021960867602618288,0.04336204461018374,5687.1108922174135,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,ici_smoothnet,0.006580244111631417,0.004343936559247677,0.006935092165860391,0.005402958002066336,0.007757530221196497,0.0006005879157674822,0.006139055072721392,9168.031750218403,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e50_smoothfg,1.0584885282276665e-05,-0.00040185267608354534,0.0006626055493446447,-0.0005276712753208307,0.0005488410458853839,0.00027454564832324183,0.060978686941563685,4160.763011719557,30,False,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e50_smoothcsh,-1.4989266029199802e-06,-0.00031925785868327806,0.0007375838827082568,-0.0005257666200142338,0.0005227687668083939,0.00026745134477854473,0.013314227157357287,8729.582669723008,30,False,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e50_smoothnet,-1.3076541533666681e-05,-0.00027749176430142477,0.0012880671300122594,-0.0008143562583356539,0.0007882031752683206,0.00040876837970335817,0.010258151412697022,8945.647263283827,30,False,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e90_smoothfg,0.021588441468883706,0.01988247453004539,0.023539291467493468,0.019700596437537445,0.023476286500229968,0.0009628301979530471,0.07763353680870583,3119.321567130439,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e90_smoothcsh,0.021395735726433225,0.01974973503155135,0.023272590814010036,0.01955170210914583,0.023239769343720622,0.0009405144472010106,0.07279256433836845,3385.965068993691,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e90_smoothnet,0.0220364816212164,0.014310425166074992,0.023776277630593236,0.01772178154582997,0.026351181696602832,0.0022011220219237335,0.009362180061078152,9001.149944814744,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,ici_concordant_austin,0.0017988464045717697,0.0011136776068131277,0.002594057578418407,0.0010727470956425674,0.002524945713500972,0.0003704135350483079,0.014861875293152417,8605.910397036456,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e50_concordant_austin,-0.00037276557265176666,-0.0007052172956523145,0.00019212114017866722,-0.0008404989867812772,9.496784147774388e-05,0.00023860901203988705,0.018503823891446298,8283.46904751462,30,False,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10,e90_concordant_austin,0.0069665992222223815,0.004824504940045207,0.009308190157017518,0.004752420286814486,0.009180778157630277,0.0011294964608974387,0.034642164427173425,6591.923571812114,30,True,"same Cox proportional hazards learner, competing death censored versus modelled"
temporal,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,ici_smoothfg,0.006379826520993433,0.005905417996739234,0.006842707053615698,0.005908642683716751,0.006851010358270115,0.00023967177570707266,0.26729266020040965,397.1848263224778,30,True,"same random survival forest learner, logrank versus logrankCR splitting"
temporal,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,ici_smoothcsh,0.006401064431191009,0.005928491289788582,0.0068607481629965935,0.005932457939228797,0.006869670923153221,0.00023832394701164123,0.27441603654045826,378.0666210676227,30,True,"same random survival forest learner, logrank versus logrankCR splitting"
temporal,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,ici_smoothnet,0.006189614710481856,0.003948109429447432,0.006620893377544515,0.004805448559649186,0.007573780861314526,0.0007060801464463016,0.03926209188244282,6103.385276411455,30,True,"same random survival forest learner, logrank versus logrankCR splitting"
temporal,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,e50_smoothfg,-0.00031855009628386,-0.00090343321365053,0.0003731696607540124,-0.0009807403997803916,0.0003436402072126716,0.0003359131419292009,0.37416899850611124,210.19725294048823,30,False,"same random survival forest learner, logrank versus logrankCR splitting"
temporal,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,e50_smoothcsh,-0.0002660997284234667,-0.0008474907679907975,0.00040296582263021924,-0.0009117755103530013,0.00037957605350606786,0.0003272477700054423,0.402952832652403,182.48909187376046,30,False,"same random survival forest learner, logrank versus logrankCR splitting"
