task,n,mean_risk10,secs
logistic_cr__cvr1f1__imp6.parquet,8230,0.046125356756036254,2.1260557174682617
logistic__cvr1f2__imp6.parquet,8230,0.06082987749955231,2.1563358306884766
logistic__cvr0f2__imp6.parquet,8230,0.05856887698008431,2.175140857696533
logistic_cr__cvr1f0__imp7.parquet,8232,0.04549444262303837,0.5399758815765381
logistic__cvr1f2__imp7.parquet,8230,0.06106239023469513,0.69370436668396
logistic__cvr0f3__imp6.parquet,8230,0.06030170832478485,2.1782984733581543
gbs_naive__cvr2f0__imp7.parquet,8232,0.04409535686839209,1.8567042350769043
logistic_cr__cvr1f4__imp6.parquet,8229,0.04386947828618762,2.1376898288726807
logistic_cr__cvr0f0__imp7.parquet,8232,0.046117628415447476,0.6518974304199219
logistic_cr__cvr0f3__imp7.parquet,8230,0.045311370408961646,0.6067767143249512
logistic__cvr2f3__imp7.parquet,8230,0.06002044868564062,0.68021559715271
logistic__cvr2f3__imp6.parquet,8230,0.060145902368626845,2.1861045360565186
logistic_cr__cvr2f2__imp7.parquet,8230,0.045400850314742267,0.4613175392150879
gbs_naive__cvr2f4__imp7.parquet,8229,0.044092503834707024,1.8099925518035889
logistic_cr__cvr2f1__imp7.parquet,8230,0.045235685883583725,0.48702144622802734
logistic__temporal__imp8.parquet,9329,0.05357849501959418,0.2696805000305176
logistic_cr__temporal__imp8.parquet,9329,0.04238322843980509,0.27036237716674805
logistic__cvr0f1__imp8.parquet,8230,0.06284771784868201,0.3662745952606201
logistic_cr__cvr0f3__imp8.parquet,8230,0.045312322625807304,0.37604618072509766
logistic__cvr1f1__imp8.parquet,8230,0.06175735172015066,0.416825532913208
logistic_cr__cvr2f3__imp7.parquet,8230,0.04518237319928771,0.6090137958526611
logistic__cvr1f2__imp8.parquet,8230,0.060899890881887846,0.4167664051055908
logistic__cvr0f3__imp8.parquet,8230,0.060539742988211964,0.424213171005249
logistic__cvr0f0__imp8.parquet,8232,0.061588684640778095,0.4346656799316406
logistic__cvr2f4__imp8.parquet,8229,0.061396301877289484,0.3927645683288574
logistic__cvr2f2__imp8.parquet,8230,0.0609124052850977,0.39581799507141113
logistic__cvr1f3__imp8.parquet,8230,0.06212896129014874,0.4071478843688965
logistic__cvr0f4__imp8.parquet,8229,0.06021324220396487,0.4259529113769531
logistic_cr__cvr2f4__imp7.parquet,8229,0.045735998700857775,0.5769269466400146
