split,contrast,model_a,model_b,tier,learner_matched,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero,note,interval_valid,interval_note
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,calib_slope,-0.1315859655539194,-0.1508026748895645,-0.11351078748703,-0.1504120331441725,-0.1127598979636664,0.0096043719817037,0.0403252934225403,12354.273280913989,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,ici,0.004452559351921,0.0027137779048644,0.0057683863909915,0.0029076716624927,0.0059974470413494,0.0007881938453492,0.0125883566232652,33307.55458655927,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,e50,0.0009101816530649,-0.000167223776225,0.0018530403263866,-0.0001086801150393,0.0019290434211693,0.0005198168868084,0.0145955602017918,31306.157903044583,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,e90,0.0039710773465534,-0.0029816910158842,0.0148867310723289,-0.0058182533085162,0.013760408001623,0.0049944111271894,0.0205220518932262,25496.223637400013,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,obs_concordant,0.0018207095563411,0.0016697029583156,0.0019799681380391,0.0016671128413198,0.0019743062713624,7.836480578296227e-05,4.860149189361204e-05,41148.00014579739,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,eo_concordant,0.102879116932551,0.0956337675452232,0.1104086071252822,0.0956734404232636,0.1100847934418385,0.0036762339720379,0.0240848866851675,22344.150785852555,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,calib_intercept_concordant,-0.1772011841336886,-0.1911126285791397,-0.1642073936760425,-0.1904655679443755,-0.1639368003230016,0.0067663966125088,0.0615251273046124,6447.291330135548,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,calib_slope_concordant,-0.1160393754641215,-0.1361221000552177,-0.0979259595274925,-0.1353457322283258,-0.0967330186999171,0.0098494624475005,0.0383320666902299,13238.73782466149,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,ici_concordant,0.0043224641121923,0.0029559268034063,0.0052607544930651,0.0031522905991587,0.0054926376252259,0.0005970116676024,0.0187688825134934,27160.869259543364,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,e50_concordant,0.0020624339658146,0.0009512993041425,0.0030943447025492,0.0009795401917641,0.003145327739865,0.0005524816125999,0.0195973390311743,26366.18076209136,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,e90_concordant,0.0029897634560863,0.0016115598147735,0.0066448933794163,0.0006869172756972,0.0052926096364754,0.0011749037867079,0.0095612442116481,36164.11747398307,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,auc,9.729464848836264e-05,-0.000230848789215,0.0004310622811317,-0.0002341356945667,0.0004287249915434,0.0001690923772112,0.0198851218685833,26093.4125392586,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,cindex,9.313623110453287e-05,-0.0003269955515861,0.0005155220627784,-0.0003236907153623,0.0005099631775714,0.0002126587849355,0.0250230389736652,21572.33531375724,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,auc_marginal_ipcw,0.0001711924870808,-0.0001121759414672,0.0004637867212295,-0.0001174182849032,0.000459803259065,0.0001472457195353,0.0219978362994802,24149.90740217643,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,cindex_marginal_ipcw,0.0001990636189778,-7.486492395401002e-05,0.0004778519272804,-7.735060021255477e-05,0.0004754778381682,0.0001410230541531,0.022496639379446,23707.503713664784,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,at_risk_fraction,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_at_0.01,-1.1589316030343373e-05,-4.976242780685425e-05,4.6566128730773926e-05,-6.159738664456314e-05,3.84187545838764e-05,2.5375290262272283e-05,0.3693436546088013,221.3551748631868,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_at_0.02,-1.9728826979796093e-05,-0.0001197161152958,0.0001177554484456,-0.000142767331424,0.0001033096774644,6.226482046617104e-05,0.4534558107400998,148.64603853175453,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_at_0.03,-4.2463342348734536e-05,-0.0001831887755542,0.0001245399937033,-0.0001996321267588,0.0001147054420613,7.983449608979916e-05,0.3313920073919872,273.28078077339313,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_at_0.05,6.0962171604235965e-05,-0.0002537998137995,0.0004046751186251,-0.0002725678667709,0.0003944922099794,0.0001694823015421,0.3165056282705857,298.826098839194,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_at_0.075,9.418918440739314e-05,-0.000319906650111,0.0005474711768329,-0.0003410466126453,0.0005294249814601,0.0002218859997206,0.1365938381666059,1517.1167622541325,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_at_0.2,0.0001641716701366,-0.0005419809938757,0.0008730573477805,-0.0005516993702291,0.0008800427105024,0.000364977235218,0.1311756814506977,1638.5159449289908,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,frac_above_0.01,0.0040112415949503,0.0035317540168762,0.004495620727539,0.0035224967403352,0.0044999864495654,0.0002479609175857,0.3748695884150713,215.0601644494096,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,frac_above_0.02,0.0072108397881189,0.0065207183361053,0.0078896291553974,0.0065212568928665,0.0079004226833714,0.000350371424684,0.3208283035764241,291.04730561237454,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,frac_above_0.03,0.0099403580029805,0.0091208815574646,0.0107976198196411,0.009085788780123,0.010794927225838,0.0004337261821133,0.3615029920896339,230.7788567183466,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,frac_above_0.05,0.0151671777168909,0.0140539407730102,0.0162733942270278,0.0140595946611816,0.0162747607726003,0.0005636551647308,0.2501516681097386,472.14121350835126,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,frac_above_0.075,0.0202368502815564,0.0190596792846918,0.0214332491159439,0.0190445090488256,0.0214291915142872,0.0006079331959103,0.1258393584228119,1772.7737605488187,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,frac_above_0.2,0.0174152646213769,0.0162002934608608,0.0186224728822708,0.0161892844215626,0.0186412448211912,0.0006251147477213,0.1210476915616483,1907.7547106287457,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_all_at_0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_all_at_0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_all_at_0.03,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_all_at_0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_all_at_0.075,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,nb_all_at_0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,log_eo_ratio,0.14630944995734,0.1435797054320574,0.1488863248378038,0.1436793260387975,0.1489395738758825,0.0013409456271697,0.1303178700672742,1659.055517300328,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,mean_pred,0.0188788721958796,0.0184230720624327,0.0193258862942457,0.0184221015058534,0.0193356428859057,0.0002329443044731,0.1014485243526243,2654.85608213756,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,obs_cif,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,eo,0.2941468795140584,0.2789453268051147,0.3107634931802749,0.278369158400562,0.3099246006275549,0.0080496231042893,0.0205489523955141,25471.206213607613,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,calib_intercept,-0.4572206457455953,-0.4767213925719261,-0.4383131645619869,-0.4766219155414412,-0.4378193759497494,0.0098959599478876,0.0784662102204879,4235.120785037112,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,calib_slope,-0.2411571462949117,-0.2718534871935844,-0.21412044018507,-0.2703539627416757,-0.2119603298481476,0.0148943752994594,0.0536108423675903,8073.197171321361,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,ici,0.0160388380289077,0.0110696067335084,0.0204661740921437,0.0112369789252021,0.0208406971326133,0.0024498225349757,0.0274547000531176,19690.55422548371,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,e50,0.0032475598466893,-0.0011344094760715,0.0079481636406853,-0.001414133252367,0.0079092529457456,0.0023782666768167,0.0348144133843488,15003.558117373854,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,e90,0.0380657710134983,0.0135494149290025,0.0553813201375305,0.0165547804198728,0.0595767616071237,0.0109746093350992,0.0237691274300682,22609.58277710217,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,obs_concordant,0.005816675722599,0.0053884993307292,0.0062777185812592,0.0053625457139491,0.0062708057312489,0.0002316964260799,4.860149189361204e-05,41148.00014579739,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,eo_concordant,0.1857431809107462,0.1740640357136726,0.1982860326766967,0.1737548057374908,0.1977315560840016,0.0061162837797928,0.025283738238548,21362.363550119968,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,calib_intercept_concordant,-0.2857083280881246,-0.3043121956288814,-0.2662814103066921,-0.3046707788964631,-0.266745877279786,0.0096729797518048,0.0635503591430068,6105.929111650637,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,calib_slope_concordant,-0.204277233282725,-0.2343048989772796,-0.1774403020739555,-0.2330750421107398,-0.1754794244547102,0.0146912553075988,0.0466132051501397,10023.121342783632,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,ici_concordant,0.0137305510851244,0.0097265913616865,0.0168198082130402,0.0101215090560602,0.0173395931141885,0.0018412380061215,0.0339185174069215,15498.491194838083,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,e50_concordant,0.0058343207463622,0.0027960834791883,0.0086074902908876,0.0028019276387076,0.0088667138540167,0.0015469799464501,0.0467781665124177,9970.16236251223,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,e90_concordant,0.0130483637253443,0.0062695343513041,0.0273407416418194,0.0022805951273207,0.0238161323233678,0.0054936558345843,0.0134038473183114,32499.52237396748,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,15.0,auc,-0.0004519740740458,-0.0013083234429359,0.0004292830824851,-0.0013266823976993,0.0004227342496076,0.0004462627691408,0.0251806526718829,21445.155167320725,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
