"task","n","mean_risk10","secs"
"rsf_cr__cvr0f3__imp5",8230,0.0366632833826558,203.920760154724
"rsf_cr__cvr0f4__imp5",8229,0.0368841093507035,207.215605735779
"rsf_cr__cvr1f0__imp5",8232,0.0366572526540483,209.940459728241
"rsf_cr__cvr1f1__imp5",8230,0.0369566355318379,204.713567018509
"rsf_cr__cvr1f2__imp5",8230,0.0372225438489166,201.615742206573
"rsf_cr__cvr1f3__imp5",8230,0.0374531169479264,204.612226486206
"rsf_cr__cvr1f4__imp5",8229,0.0359045424387101,204.73857831955
"rsf_cr__cvr2f0__imp5",8232,0.0376368645331696,202.22026348114
"rsf_cr__cvr2f1__imp5",8230,0.037389619705795,203.810657262802
"rsf_cr__cvr2f2__imp5",8230,0.0377678152532229,205.45187163353
"rsf_cr__cvr2f3__imp5",8230,0.0356251376136285,201.591369628906
"rsf_cr__cvr2f4__imp5",8229,0.0370439168787193,204.052052736282
"rsf_naive__temporal__imp6",9329,0.0490640503072251,49.8039150238037
"rsf_cr__temporal__imp6",9329,0.0428106914857621,98.2993972301483
"rsf_naive__cvr0f0__imp6",8232,0.0433704681894775,109.949403762817
"rsf_naive__cvr0f1__imp6",8230,0.0425801704477854,106.880195379257
"rsf_naive__cvr0f2__imp6",8230,0.0415032431911812,107.865922689438
"rsf_naive__cvr0f3__imp6",8230,0.0426614071003673,107.834489345551
"rsf_naive__cvr0f4__imp6",8229,0.0427246194771931,110.955447673798
"rsf_naive__cvr1f0__imp6",8232,0.0423302889498643,111.776480913162
"rsf_naive__cvr1f1__imp6",8230,0.0425079325910026,106.169291257858
"rsf_naive__cvr1f2__imp6",8230,0.0434735371149959,108.449545145035
"rsf_naive__cvr1f3__imp6",8230,0.0443978070437304,108.617119789124
"rsf_naive__cvr1f4__imp6",8229,0.0420989828984541,108.160737037659
"rsf_naive__cvr2f0__imp6",8232,0.0442398053522097,109.906655311584
"rsf_naive__cvr2f1__imp6",8230,0.0425264653376681,111.841847419739
"rsf_naive__cvr2f2__imp6",8230,0.0432407965390903,109.89766740799
"rsf_naive__cvr2f3__imp6",8230,0.0424091469479027,106.782389163971
"rsf_naive__cvr2f4__imp6",8229,0.043358880276669,110.413034439087
"rsf_cr__cvr0f0__imp6",8232,0.0368815379288062,205.14152097702
"rsf_cr__cvr0f1__imp6",8230,0.0373805546879732,206.982539892197
"rsf_cr__cvr0f2__imp6",8230,0.0366157440222153,202.761175394058
"rsf_cr__cvr0f3__imp6",8230,0.0369104080692182,201.491333961487
"rsf_cr__cvr0f4__imp6",8229,0.0372425509365091,204.407566070557
"rsf_cr__cvr1f0__imp6",8232,0.0368928013437561,210.785968542099
"rsf_cr__cvr1f1__imp6",8230,0.0370174046425129,202.735227108002
"rsf_cr__cvr1f2__imp6",8230,0.0370764007178768,201.498488664627
"rsf_cr__cvr1f3__imp6",8230,0.0373977057755754,205.762775421143
"rsf_cr__cvr1f4__imp6",8229,0.0358083744717307,201.462146997452
"rsf_cr__cvr2f0__imp6",8232,0.0378079104481982,203.799181699753
"rsf_cr__cvr2f1__imp6",8230,0.0372206048307888,206.072525501251
"rsf_cr__cvr2f2__imp6",8230,0.0374275980859914,203.85550403595
"rsf_cr__cvr2f3__imp6",8230,0.0358722456973628,205.116249084473
"rsf_cr__cvr2f4__imp6",8229,0.0368192669278275,205.546129226685
"rsf_naive__temporal__imp7",9329,0.049106087876377,46.2148718833923
"rsf_cr__temporal__imp7",9329,0.0427025233889516,95.1521663665771
"rsf_naive__cvr0f0__imp7",8232,0.0436470113419779,105.805738925934
"rsf_naive__cvr0f1__imp7",8230,0.0425474132261667,105.320920944214
"rsf_naive__cvr0f2__imp7",8230,0.0414400126274613,106.134845495224
"rsf_naive__cvr0f3__imp7",8230,0.0421982130080287,106.214062213898
"rsf_naive__cvr0f4__imp7",8229,0.042530029529421,108.480887889862
"rsf_naive__cvr1f0__imp7",8232,0.0420373637929239,106.542996406555
"rsf_naive__cvr1f1__imp7",8230,0.0425991543946648,104.544844865799
"rsf_naive__cvr1f2__imp7",8230,0.0436881786129842,103.657787322998
"rsf_naive__cvr1f3__imp7",8230,0.0440787093915091,106.0705909729
"rsf_naive__cvr1f4__imp7",8229,0.0425969102277324,104.595551967621
"rsf_naive__cvr2f0__imp7",8232,0.0441458645716692,104.98876452446
"rsf_naive__cvr2f1__imp7",8230,0.0425848367153498,107.905880451202
"rsf_naive__cvr2f2__imp7",8230,0.0435344255524034,108.424734115601
"rsf_naive__cvr2f3__imp7",8230,0.0422198774608061,104.570227622986
"rsf_naive__cvr2f4__imp7",8229,0.0433413659281499,106.554069280624
"rsf_cr__cvr0f0__imp7",8232,0.0370911988651126,203.501170635223
"rsf_cr__cvr0f1__imp7",8230,0.037346890605169,200.974932909012
"rsf_cr__cvr0f2__imp7",8230,0.0364937042913564,194.776616096497
"rsf_cr__cvr0f3__imp7",8230,0.0365628745407057,196.221046686172
