split,model,horizon_y,metric,fmi,df,m,se,m_required_von_hippel
cv,cox_naive,10.0,nb_all_at_0.01,4.860149189361204e-05,41148.00014579739,30,0.0011218565768040538,2.0
cv,cox_naive,10.0,nb_all_at_0.02,4.860149189361204e-05,41148.00014579739,30,0.0011333041013021766,2.0
cv,cox_naive,10.0,nb_all_at_0.03,4.860149189361204e-05,41148.00014579739,30,0.001144987595932287,2.0
cv,cox_naive,10.0,nb_all_at_0.05,4.860149189361204e-05,41148.00014579739,30,0.0011690925953551582,2.0
cv,cox_naive,10.0,nb_all_at_0.075,4.860149189361204e-05,41148.00014579739,30,0.0012006896463603893,2.0
cv,cox_naive,10.0,nb_all_at_0.2,4.860149189361204e-05,41148.00014579739,30,0.001388297690177076,2.0
cv,cox_naive,15.0,mean_pred,0.06208025821230048,6351.088546395568,30,0.0006188685777849102,3.0
cv,cox_naive,15.0,obs_cif,4.860149189361204e-05,41148.00014579739,30,0.0017197974801951507,2.0
cv,cox_naive,15.0,eo,0.0049411794759439956,39609.06534405772,30,0.03426707853595537,2.0
cv,cox_naive,15.0,calib_intercept,0.01584286061672283,30052.991497199542,30,0.039747106972965,2.0
cv,cox_naive,15.0,calib_slope,0.03016071140457679,17796.76433779477,30,0.021739939168721738,2.0
cv,cox_naive,15.0,ici,0.039221702734678995,12834.300383262598,30,0.001726827136810331,2.0
cv,cox_naive,15.0,e50,0.02203614329216086,24115.69802222909,30,0.0015806624468756565,2.0
cv,cox_naive,15.0,e90,0.015233032394190518,30665.432060382816,30,0.006657720622019979,2.0
cv,cox_naive,15.0,obs_concordant,4.860149189361204e-05,41148.00014579739,30,0.0019110685075623666,2.0
cv,cox_naive,15.0,eo_concordant,0.004789474958883718,39694.05969504129,30,0.03191792335466224,2.0
cv,cox_naive,15.0,calib_intercept_concordant,0.013797272966620304,32106.71930953894,30,0.04012419603400846,2.0
cv,cox_naive,15.0,calib_slope_concordant,0.03316123168528102,15932.22611841208,30,0.021804060018625036,2.0
cv,cox_naive,15.0,ici_concordant,0.058158573068106345,7077.123015736791,30,0.001757870396705045,3.0
cv,cox_naive,15.0,e50_concordant,0.03500186362416087,14902.440257819198,30,0.0017893490513852745,2.0
cv,cox_naive,15.0,e90_concordant,0.04899542844040245,9293.584060074263,30,0.0038435852724861643,3.0
cv,cox_naive,15.0,auc,0.015970919667859046,29924.577736813888,30,0.005627474843537868,2.0
cv,cox_naive,15.0,cindex,0.021771552941977045,24352.76825759127,30,0.005693458184729107,2.0
cv,cox_naive,15.0,auc_marginal_ipcw,0.007997290668084259,37490.81268579155,30,0.005543207516503751,2.0
cv,cox_naive,15.0,cindex_marginal_ipcw,0.006680142311402156,38491.73897097978,30,0.005217070831837027,2.0
cv,cox_naive,15.0,at_risk_fraction,4.860149189361204e-05,41148.00014579739,30,0.0023392404352275465,2.0
cv,cox_naive,15.0,nb_at_0.01,0.0011106599016408696,41038.708408580234,30,0.0017442364222622153,2.0
cv,cox_naive,15.0,nb_at_0.02,0.001179007877374761,41027.20883460969,30,0.0017304629206788427,2.0
cv,cox_naive,15.0,nb_at_0.03,0.0013385359154141664,40998.28593819641,30,0.001726652498923865,2.0
cv,cox_naive,15.0,nb_at_0.05,0.002024789363923824,40840.920205314236,30,0.0017001268319387676,2.0
cv,cox_naive,15.0,nb_at_0.075,0.0038736643038644685,40160.626875570306,30,0.0016422026383016858,2.0
cv,cox_naive,15.0,nb_at_0.2,0.026444487909646985,20451.440501913254,30,0.0013695723328485806,2.0
cv,cox_naive,15.0,frac_above_0.01,0.2265330262425631,572.4247106636424,30,0.0024503021154549604,23.0
cv,cox_naive,15.0,frac_above_0.02,0.06569408060168416,5771.859816985106,30,0.0025275901777630835,4.0
cv,cox_naive,15.0,frac_above_0.03,0.04861068158403008,9406.433305658471,30,0.002653649332522419,3.0
cv,cox_naive,15.0,frac_above_0.05,0.042555273255452046,11453.004162150402,30,0.002595550865084684,2.0
cv,cox_naive,15.0,frac_above_0.075,0.0564872757380466,7422.178366195918,30,0.002486172182132966,3.0
