split,model,family,horizon_y,metric,concordant_smoother,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m
cv,fine_gray,competing,10,e90_smoothnet,smoothfg,0.020158995854345208,0.029842549359741805,0.04003466827208895,0.01439490026765498,0.025923091441035436,0.0029408316814312613,0.0024959892450917174,40702.392908009315,30
cv,fine_gray,competing,10,ici_concordant_austin,smoothfg,0.002195318854947083,0.004181807591706665,0.006743091701687183,0.0008221975277771746,0.0035684401821169916,0.0007005565093313879,0.016110558831742037,29784.65999878792,30
cv,fine_gray,competing,10,e50_concordant_austin,smoothfg,0.0011728035911987163,0.0026930306743344827,0.0050344990223370675,-2.8217636286336856e-05,0.0023738248186837693,0.0006127572882654699,0.008277770873660691,37262.9435703433,30
cv,fine_gray,competing,10,e90_concordant_austin,smoothfg,0.003703448671529987,0.008933353280623968,0.01581879820747337,0.0002136021877760159,0.007193295155283958,0.0017805094101321947,0.007787058280510277,37658.41459387154,30
cv,gbs_naive,naive,10,ici_smoothfg,smoothnet,0.011433908026740776,0.011544877011115543,0.014116773240170973,0.010233449364374947,0.012634366689106604,0.0006123012100132364,0.08189995837106198,3923.3492946510364,30
cv,gbs_naive,naive,10,ici_smoothcsh,smoothnet,0.008922034502476276,0.00680587617959985,0.009404222552124534,0.007670872042592766,0.010173196962359788,0.0006382645336804637,0.05349995529348067,8099.854603442367,30
cv,gbs_naive,naive,10,ici_smoothnet,smoothnet,0.004786080049522249,0.004371216839335152,0.007410398782229258,0.0033041419294731495,0.0062680181695713485,0.000755984824325249,0.05553339352015816,7629.712900551033,30
cv,gbs_naive,naive,10,e50_smoothfg,smoothnet,0.003547866776403374,0.005239129433768965,0.00734960044359831,0.0025338810890096278,0.00456185246379712,0.0005173285173956164,0.015537382376934169,30359.627113260904,30
cv,gbs_naive,naive,10,e50_smoothcsh,smoothnet,0.0015869727908729197,0.001954333913831585,0.004069628319952933,0.000583308746427967,0.0025906368353178725,0.0005120626570089342,0.015282463195726155,30615.75155210623,30
cv,gbs_naive,naive,10,e50_smoothnet,smoothnet,0.0020230395873567235,0.0025225480532141374,0.004893644253018185,0.0008816354861689031,0.0031644436885445437,0.0005823382618547465,0.013071708690352022,32829.780904134524,30
cv,gbs_naive,naive,10,e90_smoothfg,smoothnet,0.024782644272072447,0.01400804473287916,0.02184080639398558,0.020716522763174185,0.02884876578097071,0.0020744926249803646,0.020185652231012405,25810.490323208338,30
cv,gbs_naive,naive,10,e90_smoothcsh,smoothnet,0.019921770596990813,0.007003751036504966,0.01402136176819049,0.016293425865899755,0.02355011532808187,0.0018511412732451294,0.020878517311674408,25166.103514768427,30
cv,gbs_naive,naive,10,e90_smoothnet,smoothnet,0.005841539476611453,0.008907564689003292,0.01695656801738497,0.001902598125186103,0.009780480828036803,0.0020096122189485247,0.01848671631120757,27434.506949884304,30
cv,gbs_naive,naive,10,ici_concordant_austin,smoothnet,0.004786080049522249,0.004371216839335152,0.007410398782229258,0.0033041419294731495,0.0062680181695713485,0.000755984824325249,0.05553339352015816,7629.712900551033,30
cv,gbs_naive,naive,10,e50_concordant_austin,smoothnet,0.0020230395873567235,0.0025225480532141374,0.004893644253018185,0.0008816354861689031,0.0031644436885445437,0.0005823382618547465,0.013071708690352022,32829.780904134524,30
cv,gbs_naive,naive,10,e90_concordant_austin,smoothnet,0.005841539476611453,0.008907564689003292,0.01695656801738497,0.001902598125186103,0.009780480828036803,0.0020096122189485247,0.01848671631120757,27434.506949884304,30
cv,logistic,naive,10,ici_smoothfg,smoothnet,0.02348119219603142,0.017557462106315192,0.02048581802493594,0.02197358262096917,0.024988801771093673,0.0007691741345268912,0.013302611670557766,32600.331293116717,30
cv,logistic,naive,10,ici_smoothcsh,smoothnet,0.023700627838228853,0.016072687825653832,0.01959349510232152,0.021924434462783488,0.025476821213674217,0.0009062085628920091,0.007904510162189607,37565.12391954766,30
cv,logistic,naive,10,ici_smoothnet,smoothnet,0.018026416808798247,0.009561971069510308,0.013493512960592991,0.016085951986157202,0.019966881631439292,0.0009900214199247655,0.003893993262687494,40151.1619145124,30
