model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
fine_gray,0.05,0.002680229165328045,0.07215512516234249,30,cv,5.0
fine_gray,0.055,0.0022193743209909223,0.05846732494687587,30,cv,5.0
fine_gray,0.06,0.0018990965671363356,0.047635942423432394,30,cv,5.0
fine_gray,0.065,0.0015332230810471102,0.03901214767293356,30,cv,5.0
fine_gray,0.07,0.0011856176621401517,0.03222359926449742,30,cv,5.0
fine_gray,0.075,0.0009329112427708334,0.026637397768111484,30,cv,5.0
fine_gray,0.08,0.0007055133299621402,0.021920892971414224,30,cv,5.0
fine_gray,0.085,0.00045169180943658525,0.01820206880351227,30,cv,5.0
fine_gray,0.09,0.00037577706364038283,0.015280579113778793,30,cv,5.0
fine_gray,0.095,0.0002738773648536617,0.012865624974686721,30,cv,5.0
fine_gray,0.1,0.00022003405574096786,0.010861083435261463,30,cv,5.0
fine_gray,0.125,5.559375490640419e-05,0.004682213743961939,30,cv,5.0
fine_gray,0.15,2.543054215487026e-05,0.0020609732718794467,30,cv,5.0
fine_gray,0.2,-3.096467303770861e-05,0.00043201326280716814,30,cv,5.0
gbs_naive,0.001,0.014975775492580789,0.8259839777081156,30,cv,5.0
gbs_naive,0.002,0.014242281538535604,0.6706444287839637,30,cv,5.0
gbs_naive,0.003,0.013585128420449875,0.5875928491004674,30,cv,5.0
gbs_naive,0.004,0.013020543484245282,0.5314313949438247,30,cv,5.0
gbs_naive,0.005,0.012479149810777806,0.4882886604618762,30,cv,5.0
gbs_naive,0.006,0.012001252325979426,0.4532432045663802,30,cv,5.0
gbs_naive,0.007,0.011556551602294738,0.42403640791772307,30,cv,5.0
gbs_naive,0.008,0.011137787597930696,0.3994124619625823,30,cv,5.0
gbs_naive,0.009,0.010731802635272035,0.3782052008996676,30,cv,5.0
gbs_naive,0.01,0.01033555495995039,0.35924575884479654,30,cv,5.0
gbs_naive,0.011,0.009968672787385576,0.3420111297416831,30,cv,5.0
gbs_naive,0.012,0.009612574609230902,0.32601988881058647,30,cv,5.0
gbs_naive,0.013,0.009310790583553384,0.3113473683642088,30,cv,5.0
gbs_naive,0.014,0.009018434622849505,0.29775623111629523,30,cv,5.0
gbs_naive,0.015,0.008727242441833974,0.28536447068925014,30,cv,5.0
gbs_naive,0.016,0.008439665937096186,0.2736104698414241,30,cv,5.0
gbs_naive,0.017,0.008154238770616369,0.2627272457264438,30,cv,5.0
gbs_naive,0.018,0.007898247094263983,0.25245667041978187,30,cv,5.0
gbs_naive,0.019,0.007684522789920318,0.24276445286870307,30,cv,5.0
gbs_naive,0.02,0.007461112356148202,0.2336622034296453,30,cv,5.0
gbs_naive,0.025,0.006511778599835659,0.19532237639695538,30,cv,5.0
gbs_naive,0.03,0.00572815868894867,0.16646092035025475,30,cv,5.0
gbs_naive,0.035,0.004994080415180655,0.14340167243134364,30,cv,5.0
gbs_naive,0.04,0.004317175190412001,0.12419247270891216,30,cv,5.0
gbs_naive,0.045,0.0037100459534234343,0.10816640070850175,30,cv,5.0
gbs_naive,0.05,0.003201293562600028,0.09455123272284459,30,cv,5.0
gbs_naive,0.055,0.002750767375082072,0.08280992226461352,30,cv,5.0
gbs_naive,0.06,0.002335831524726945,0.07271350230452074,30,cv,5.0
gbs_naive,0.065,0.001958831195847088,0.06395821351715497,30,cv,5.0
gbs_naive,0.07,0.0016390324785019058,0.05654783601856577,30,cv,5.0
gbs_naive,0.075,0.0013312917796813736,0.05012730890838348,30,cv,5.0
gbs_naive,0.08,0.0010956994507443306,0.04454326747831159,30,cv,5.0
gbs_naive,0.085,0.0008819234516155776,0.03975683053469742,30,cv,5.0
gbs_naive,0.09,0.00069808707857084,0.03561598341069071,30,cv,5.0
gbs_naive,0.095,0.0005502209395940055,0.03193847051104469,30,cv,5.0
gbs_naive,0.1,0.00043014410749083533,0.02874535248232121,30,cv,5.0
gbs_naive,0.125,8.386241627259128e-05,0.01756511924916095,30,cv,5.0
