model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
logistic_cr,0.125,-0.0007442230831661636,0.01610033229713796,30,temporal,5.0
logistic_cr,0.15,-0.0006284430376288151,0.010754993389788116,30,temporal,5.0
logistic_cr,0.2,-0.0006065316039589809,0.00464144066888198,30,temporal,5.0
nfg,0.001,0.012840689333346632,1.0,30,temporal,5.0
nfg,0.002,0.011869524592472896,0.9910315503626684,30,temporal,5.0
nfg,0.003,0.011838542031210292,0.6475470754278772,30,temporal,5.0
nfg,0.004,0.011465836906779582,0.5492657305177404,30,temporal,5.0
nfg,0.005,0.011024339548889624,0.48311358845178115,30,temporal,5.0
nfg,0.006,0.01062329240386759,0.4387144031157323,30,temporal,5.0
nfg,0.007,0.010155614257820968,0.4076606996105335,30,temporal,5.0
nfg,0.008,0.009673961528221054,0.3841998070532747,30,temporal,5.0
nfg,0.009,0.009215327990143326,0.36410476292564403,30,temporal,5.0
nfg,0.01,0.008776621757648663,0.34667881516418336,30,temporal,5.0
nfg,0.011,0.008342469273705473,0.3312823811055133,30,temporal,5.0
nfg,0.012,0.00798214729250379,0.31795833779969274,30,temporal,5.0
nfg,0.013,0.007619958448648668,0.30622074534605354,30,temporal,5.0
nfg,0.014,0.007314530485792773,0.2956837102940651,30,temporal,5.0
nfg,0.015,0.007027628309662986,0.28624718619358985,30,temporal,5.0
nfg,0.016,0.006737622955605694,0.2774752563690285,30,temporal,5.0
nfg,0.017,0.006478629210968135,0.2695894522456855,30,temporal,5.0
nfg,0.018,0.006244017716401206,0.26161789402222463,30,temporal,5.0
nfg,0.019,0.006021278919836342,0.25403580233679923,30,temporal,5.0
nfg,0.02,0.005778849217894897,0.24708257405223855,30,temporal,5.0
nfg,0.025,0.004787021080300102,0.21792260692464357,30,temporal,5.0
nfg,0.03,0.0038741477541671585,0.19548004430628507,30,temporal,5.0
nfg,0.035,0.0030683379829754415,0.17633901454246617,30,temporal,5.0
nfg,0.04,0.0023881623610962216,0.15983849644477793,30,temporal,5.0
nfg,0.045,0.0018652452138867009,0.1446278629363633,30,temporal,5.0
nfg,0.05,0.0014935505770536316,0.1307678565048058,30,temporal,5.0
nfg,0.055,0.0011251444595497195,0.11767963697430951,30,temporal,5.0
nfg,0.06,0.0008790555493470002,0.10604566405831278,30,temporal,5.0
nfg,0.065,0.0006998665728874496,0.09520134348090184,30,temporal,5.0
nfg,0.07,0.0005052653094312976,0.08577911173044628,30,temporal,5.0
nfg,0.075,0.0004214311857146041,0.07679279665559009,30,temporal,5.0
nfg,0.08,0.0003719118037722485,0.0684353449815986,30,temporal,5.0
nfg,0.085,0.00032007444518053935,0.06099617679636974,30,temporal,5.0
nfg,0.09,0.0002346850990864291,0.05412155643691714,30,temporal,5.0
nfg,0.095,0.00010737029248188878,0.04794726122842748,30,temporal,5.0
nfg,0.1,3.533386532636199e-05,0.04248758352092043,30,temporal,5.0
nfg,0.125,-0.0006283529597925567,0.01991996283988995,30,temporal,5.0
nfg,0.15,-0.00065324446854527,0.008489655911673277,30,temporal,5.0
nfg,0.2,-5.8062671954836175e-05,0.0002322506878193447,30,temporal,5.0
rsf_cr,0.001,0.013015541714580553,0.8253224711473184,30,temporal,5.0
rsf_cr,0.002,0.012351246960995991,0.7363597384499947,30,temporal,5.0
rsf_cr,0.003,0.01175647928528502,0.6724372029871012,30,temporal,5.0
rsf_cr,0.004,0.011227329728389385,0.622053096080323,30,temporal,5.0
rsf_cr,0.005,0.0107660897117883,0.5802408260978311,30,temporal,5.0
rsf_cr,0.006,0.010302814492989306,0.5454032229249294,30,temporal,5.0
rsf_cr,0.007,0.009888758955163005,0.515446457283739,30,temporal,5.0
rsf_cr,0.008,0.009463178180652999,0.4893915031979133,30,temporal,5.0
rsf_cr,0.009,0.00901557761591559,0.4658984528531104,30,temporal,5.0
rsf_cr,0.01,0.008654126212278209,0.44527459177475254,30,temporal,5.0
rsf_cr,0.011,0.00828662578173031,0.4262800585986351,30,temporal,5.0
