model,cfg_id,seed,seed_used,imp,cfg,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
deephit,deephit_018,0,20262200,1,"{""alpha"": 0.5, ""batch_size"": 128, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 64]}",0.04651675189284344,0.041509174627173406,1.1206378423721268,-0.14177922480928862,0.9616269270831531,0.0049901422252598615,0.00034025414414795563,0.017525806585039105,0.8389844572428166,0.832431977617634,1.0,0.036523806099922236
deephit,deephit_011,2,20264063,1,"{""alpha"": 0.2, ""batch_size"": 128, ""dropout"": 0.0, ""head"": [32], ""lr"": 0.003, ""num_durations"": 20, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.0659460499887254,0.041509174627173406,1.5887102208376538,-0.48218313009086045,1.0502119802223435,0.024220232321986244,0.009147200050485034,0.07325520609561342,0.8385553255773869,0.8318997642083664,1.0,0.037789031268311735
deephit,deephit_030,0,20262404,1,"{""alpha"": 0.1, ""batch_size"": 512, ""dropout"": 0.0, ""head"": [32], ""lr"": 0.003, ""num_durations"": 20, ""sigma"": 0.25, ""trunk"": [128, 64]}",0.09326973934395583,0.041509174627173406,2.246966849658776,-0.8353986471233413,1.2806520842082714,0.052299884588563106,0.024459191360613475,0.1500242097557845,0.8384115694371834,0.8316695974528134,1.0,0.04244484673576066
deephit,deephit_027,1,20263344,1,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.01, ""num_durations"": 80, ""sigma"": 0.25, ""trunk"": [128, 64]}",0.06625169086712425,0.041509174627173406,1.5960734334561666,-0.4981255710285779,1.1099730360100188,0.025213100882206286,0.007951087201164553,0.07911611470826396,0.8406708319147653,0.8341919601200796,1.0,0.03794153131495746
deephit,deephit_027,2,20264335,1,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.01, ""num_durations"": 80, ""sigma"": 0.25, ""trunk"": [128, 64]}",0.06578653472945173,0.041509174627173406,1.58486732921896,-0.47608069884755677,1.1158955560770065,0.02421569080184451,0.008100789181344381,0.07455864454256145,0.8400650618210758,0.8335363247999827,1.0,0.03771109782975053
deephit,deephit_023,0,20262285,1,"{""alpha"": 0.9, ""batch_size"": 256, ""dropout"": 0.4, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64]}",0.04405990996212217,0.041509174627173406,1.0614499169848335,-0.021788859542612404,1.0954455938350034,0.002745626806471069,0.0018703551815361132,0.006498522451130362,0.840337972941082,0.8338007754196548,1.0,0.03645400737915816
deephit,deephit_032,2,20264420,1,"{""alpha"": 0.9, ""batch_size"": 128, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.003, ""num_durations"": 20, ""sigma"": 0.25, ""trunk"": [64, 64, 64]}",0.04240168134219065,0.041509174627173406,1.021501432467245,0.04118274980443062,1.0707844551682209,0.0028154173914114932,0.0023068355162565654,0.004439149814194049,0.8367339792031993,0.8303465308390331,1.0,0.03642705416824465
deephit,deephit_002,0,20261928,1,"{""alpha"": 0.5, ""batch_size"": 512, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.25, ""trunk"": [64]}",0.057388262428298885,0.041509174627173406,1.3825440506526105,-0.23197485502087542,1.1673956772283733,0.01591689841450936,0.014496959264052034,0.028647441811639696,0.836848058188117,0.8304623986781072,1.0,0.03690986957157298
deephit,deephit_031,0,20262421,1,"{""alpha"": 0.2, ""batch_size"": 128, ""dropout"": 0.0, ""head"": [32, 32], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.1, ""trunk"": [32]}",0.06910214542813153,0.041509174627173406,1.6647439041800356,-0.3864541779325772,1.6474568505932405,0.027396307888803414,0.025594577079128822,0.05510661024750574,0.8418397557071544,0.8352476707019744,1.0,0.0375836583109337
deephit,deephit_040,1,20263565,1,"{""alpha"": 0.0, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.05, ""trunk"": [32]}",0.19818378570781928,0.041509174627173406,4.774457393765691,-1.4765572453054454,4.652373931607962,0.1583609149248172,0.16257196535377105,0.18464113578776187,0.8117359616371723,0.8054565617049703,1.0,0.06255441899730668
deephit,deephit_029,2,20264369,1,"{""alpha"": 0.5, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 64]}",0.049907598337118476,0.041509174627173406,1.2023269261645873,-0.12290863558305401,1.1648823655308886,0.008192479729766644,0.006425611462529939,0.017519322426405137,0.8410122379091708,0.8345404352609659,1.0,0.036484289115283154
deephit,deephit_017,0,20262183,1,"{""alpha"": 0.5, ""batch_size"": 512, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.053346337962267024,0.041509174627173406,1.2851698074320317,-0.19150357039127341,1.147011464286365,0.01145502639866576,0.008385280043092469,0.025659982319475277,0.8391851935211684,0.8327298404777613,1.0,0.036685524848852416
deephit,deephit_023,2,20264267,1,"{""alpha"": 0.9, ""batch_size"": 256, ""dropout"": 0.4, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64]}",0.04465735524241382,0.041509174627173406,1.0758430068416611,-0.0386613408589832,1.1150020645121144,0.003676884030300505,0.001956420060270636,0.008918251201948557,0.8414610752057101,0.8349669497739066,1.0,0.03638099930873159
deephit,deephit_018,1,20263191,1,"{""alpha"": 0.5, ""batch_size"": 128, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 64]}",0.04640485949979016,0.041509174627173406,1.1179422360619973,-0.10760427494594955,1.086635860382515,0.005873876031907309,0.0019389558700973301,0.01539114757467519,0.8371521896754839,0.8308242387151756,1.0,0.03647202932657406
deephit,deephit_023,1,20263276,1,"{""alpha"": 0.9, ""batch_size"": 256, ""dropout"": 0.4, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64]}",0.044284549507133786,0.041509174627173406,1.0668617216528202,-0.02640240394588332,1.1825821579025093,0.0047555653478679434,0.0023010663023454343,0.01120830369331205,0.8418949552159856,0.8354140927135632,1.0,0.03637960384031161
deephit,deephit_027,0,20262353,1,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.01, ""num_durations"": 80, ""sigma"": 0.25, ""trunk"": [128, 64]}",0.06517010739659859,0.041509174627173406,1.570016941602493,-0.49644070400747264,1.0421230590202635,0.02382223306952538,0.006198247813436142,0.07625880801519269,0.8386209714448786,0.8321424823446816,1.0,0.037984199199020484
deephit,deephit_004,1,20262953,1,"{""alpha"": 0.7, ""batch_size"": 128, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.5, ""trunk"": [32]}",0.043890485166526876,0.041509174627173406,1.0573682941359805,-0.044805249479941425,1.025618373649651,0.0021485933290038496,0.0008219652497151175,0.005950191314841868,0.8388290676577412,0.8322497501636038,1.0,0.03656251499017547
deephit,deephit_002,1,20262919,1,"{""alpha"": 0.5, ""batch_size"": 512, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.25, ""trunk"": [64]}",0.05648100393709776,0.041509174627173406,1.3606872322660748,-0.21055256095276204,1.1709696838617856,0.01473930968868718,0.013685128152220671,0.026431806608585573,0.8397482285112466,0.8331859901952797,1.0,0.036689257356208885
deephit,deephit_036,2,20264488,1,"{""alpha"": 0.1, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.001, ""num_durations"": 20, ""sigma"": 0.5, ""trunk"": [64, 64, 64]}",0.07736208433370755,0.041509174627173406,1.8637345846685067,-0.6680028761933993,0.9427092876622566,0.036033893275320826,0.016655341098223003,0.0961187744491292,0.8278917301401664,0.8214621870478815,1.0,0.03986255859620406
