model,imp,member,mean_risk10,frac_above_0.01,frac_above_0.02,frac_above_0.03,frac_above_0.05,frac_above_0.075,frac_above_0.2
deephit,30,9,0.04082391783595085,0.5374638224890128,0.39800621717225854,0.3258655804480652,0.2589773823560939,0.20452352878121985,0.028191660413763534
nfg,1,0,0.03607400879263878,0.4558902347518491,0.3646693107514203,0.30946510880051453,0.22982098831600387,0.1702218887340551,0.02401114803301533
nfg,1,1,0.04679151624441147,0.5905241719369707,0.4453853574874049,0.36499088862686246,0.27109014899774897,0.2061314181584307,0.04984457069353628
nfg,1,2,0.04771793261170387,0.5166684532104191,0.39479043841783684,0.34097974059384717,0.2765569728802658,0.22553328331010827,0.05820559545503269
nfg,1,3,0.037893056869506836,0.4651088005145246,0.3488048022296066,0.2989602315360703,0.2355021974488155,0.18565762675527925,0.019937828277414513
nfg,1,4,0.04302109032869339,0.5225640475935256,0.3733519133883589,0.32114910494158,0.26090684960874694,0.20977596741344195,0.037517418801586454
nfg,1,5,0.04303232207894325,0.5013399078143423,0.3773180405188123,0.31707578518597923,0.24707900096473362,0.19519777039339695,0.05048772644442062
nfg,1,6,0.051903560757637024,0.543037838996677,0.4215885947046843,0.36606281487833636,0.30046092828813376,0.24386322221031193,0.07428448922714118
nfg,1,7,0.04652474448084831,0.5498981670061099,0.41001179118876624,0.3432307857219423,0.2751634687533498,0.2178154142994962,0.05113088219530496
nfg,1,8,0.04202538728713989,0.5352127773609175,0.3900739629113517,0.333797834708972,0.2599421159824204,0.20130775002679815,0.032693750669953905
nfg,1,9,0.05036637559533119,0.5773394790438418,0.41826562332511524,0.3560939007396291,0.29017043627398437,0.24032586558044808,0.06163575945974917
nfg,2,0,0.047056879848241806,0.5540786793868582,0.439918533604888,0.37978347089720227,0.3032479365419659,0.24064744345589023,0.03655268517525994
nfg,2,1,0.0463801734149456,0.5352127773609175,0.42105263157894735,0.3655268517525994,0.28566834601779395,0.22156715617965483,0.04480651731160896
nfg,2,2,0.03551330789923668,0.5554721835137743,0.3670275485046629,0.3003537356629864,0.2198520741772966,0.1617536713474113,0.014042233894308071
nfg,2,3,0.04462231323122978,0.5390717118662236,0.41387072569407224,0.34290920784650014,0.27248365312466505,0.2144924429199271,0.04084039018115554
nfg,2,4,0.04823532700538635,0.5544002572623004,0.43584521384928715,0.37463822489012755,0.30185443241504983,0.24268410333369064,0.042448279558366386
nfg,2,5,0.039781536906957626,0.5181691499624825,0.3836424054025083,0.3183620966877479,0.24043305820559546,0.18844463500911138,0.025297459534784007
nfg,2,6,0.04308624193072319,0.5575088433915747,0.4044377746811019,0.33433379783470896,0.2610140422338943,0.2084896559116733,0.03226498016936435
nfg,2,7,0.0411800779402256,0.5601886590202594,0.38868045878443563,0.3118233465537571,0.23828920570264767,0.19262514738985959,0.033229713795690854
nfg,2,8,0.04066508635878563,0.47079000964733625,0.357165826991103,0.28363168613999357,0.22349662343230786,0.17761817986922498,0.054346660949726656
nfg,2,9,0.03805789723992348,0.45278164862257475,0.3475184907278379,0.29445814127987996,0.22649801693643476,0.1724729338621503,0.0359095294243756
nfg,3,0,0.03884635493159294,0.45835566513023906,0.34730410547754315,0.2852395755172044,0.2272483653124665,0.18019080287276235,0.041805123807482046
nfg,3,1,0.045769982039928436,0.5349983921106228,0.37431664701468537,0.3245792689462965,0.26412262836316863,0.2158859470468432,0.0539178904491371
nfg,3,2,0.04515421763062477,0.5399292528674027,0.3963983277950477,0.32897416657733947,0.25801264872976737,0.20677457390931503,0.05359631257369493
nfg,3,3,0.04468495398759842,0.5280308714760424,0.39596955729445815,0.33862150284060455,0.2718404973737807,0.21427805766963232,0.047700718190588486
nfg,3,4,0.03941865637898445,0.5608318147711437,0.4018651516775646,0.33326187158323506,0.24900846821738665,0.17933326187158324,0.020688176653446244
