split,model,horizon_y,metric,fmi_single,df_single,m_single,se_single,m_required_von_hippel_single,fmi_ens,df_ens,m_ens,se_ens,m_required_von_hippel_ens
cv,nfg,5.0,calib_intercept,0.1457542243767788,1340.3526261030856,30,0.0538041291850287,11.0,0.0299817459728364,17915.638543719193,30,0.0501492874572717,2.0
cv,nfg,5.0,calib_slope,0.1500877333468926,1267.267289570296,30,0.0589896977811801,12.0,0.0495013126249832,9147.985701276297,30,0.0637119494225464,3.0
cv,nfg,5.0,ici,0.2475633017902241,481.7798423345343,30,0.0004548459493363,26.0,0.040486839810641,12285.954945601885,30,0.0004462378499487,2.0
cv,nfg,5.0,e50,0.1528306525325487,1224.043174242193,30,0.0002152530425455,12.0,0.0314456925802415,16968.984110467565,30,0.0002224062752822,2.0
cv,nfg,5.0,e90,0.310386091761662,310.388849736634,30,0.0013839233334554,38.0,0.0628737473993968,6217.0677526598665,30,0.0013331501348694,4.0
cv,nfg,5.0,obs_concordant,4.860149189361204e-05,41148.00014579739,30,0.0006290996904501,2.0,4.860149189361204e-05,41148.00014579739,30,0.0006290996904501,2.0
cv,nfg,5.0,eo_concordant,0.1745031672183666,948.5249110032428,30,0.0425130268471213,15.0,0.0321543979276386,16531.398094988388,30,0.0391221897106345,2.0
cv,nfg,5.0,calib_intercept_concordant,0.1457542243767788,1340.3526261030856,30,0.0538041291850287,11.0,0.0299817459728364,17915.638543719193,30,0.0501492874572717,2.0
cv,nfg,5.0,calib_slope_concordant,0.1500877333468926,1267.267289570296,30,0.0589896977811801,12.0,0.0495013126249832,9147.985701276297,30,0.0637119494225464,3.0
cv,nfg,5.0,ici_concordant,0.2475633017902241,481.7798423345343,30,0.0004548459493363,26.0,0.040486839810641,12285.954945601885,30,0.0004462378499487,2.0
cv,nfg,5.0,e50_concordant,0.1528306525325487,1224.043174242193,30,0.0002152530425455,12.0,0.0314456925802415,16968.984110467565,30,0.0002224062752822,2.0
cv,nfg,5.0,e90_concordant,0.310386091761662,310.388849736634,30,0.0013839233334554,38.0,0.0628737473993968,6217.0677526598665,30,0.0013331501348694,4.0
cv,nfg,5.0,auc,0.0270062648732051,20024.65421605166,30,0.0072547822003255,2.0,0.0219589847929686,24184.642376115306,30,0.0071774903172062,2.0
cv,nfg,5.0,cindex,0.034571644801089,15135.760412411304,30,0.0071287779164251,2.0,0.0251315830045058,21484.672899471505,30,0.0070229108962072,2.0
cv,nfg,5.0,auc_marginal_ipcw,0.0252596459331229,21381.685338112417,30,0.0073353805526717,2.0,0.0202624855880507,25738.48341699382,30,0.0072561452485497,2.0
cv,nfg,5.0,cindex_marginal_ipcw,0.0245124821881623,21989.2344595729,30,0.0072996463334818,2.0,0.0192640357499615,26684.26303225507,30,0.0072220166930494,2.0
cv,nfg,5.0,at_risk_fraction,4.860149189361204e-05,41148.00014579739,30,0.001962049614007,2.0,4.860149189361204e-05,41148.00014579739,30,0.001962049614007,2.0
cv,nfg,5.0,nb_at_0.01,0.0109916366191848,34850.647266827415,30,0.0005912323519057,2.0,0.0086160265800331,36981.94897758947,30,0.0005932752993761,2.0
cv,nfg,5.0,nb_at_0.02,0.0190122890187124,26925.9918368344,30,0.0005508716113776,2.0,0.0171377608465332,28760.26825061388,30,0.000557501489715,2.0
cv,nfg,5.0,nb_at_0.03,0.0218053307088205,24322.402223861787,30,0.0005178039754955,2.0,0.0209232455735976,25124.89610849112,30,0.0005280902262027,2.0
cv,nfg,5.0,nb_at_0.05,0.0670515394656253,5573.623904913502,30,0.0004567296274408,4.0,0.0527503148586471,8283.298198572998,30,0.0004701069391038,3.0
cv,nfg,5.0,nb_at_0.075,0.1209675703549335,1910.139893619995,30,0.0003744515951266,8.0,0.1069904223708207,2404.9644228368734,30,0.000381941756796,7.0
cv,nfg,5.0,nb_at_0.2,0.5673422226816086,96.3467685669822,30,4.721995117493548e-06,95.0,0.5376702594939481,106.88666564498688,30,5.214562366893381e-07,88.0
cv,nfg,5.0,frac_above_0.01,0.8710579677198029,42.17320422778182,30,0.0055118607293061,170.0,0.4671512818488156,140.31648245735892,30,0.0031671393939031,72.0
cv,nfg,5.0,frac_above_0.02,0.8712503413554679,42.15523538311811,30,0.004751244285188,170.0,0.4233018620856277,169.86727026332275,30,0.0026610959763333,62.0
cv,nfg,5.0,frac_above_0.03,0.891596932042517,40.31677236687382,30,0.0044080996607514,175.0,0.4831104546956223,131.4762690904271,30,0.0024598051944964,75.0
cv,nfg,5.0,frac_above_0.05,0.8916295130915439,40.313923687567055,30,0.0034120748214446,175.0,0.4879289280040305,128.97351561293436,30,0.0019202920127477,77.0
cv,nfg,5.0,frac_above_0.075,0.8911457942568932,40.356247256207055,30,0.0024597946153341,175.0,0.5079764009480285,119.30230386698852,30,0.0014027008499989,81.0
