model,config,protocol,seed,imp,seed_used,horizon,cfg,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
deephit,tuned_cindex,temporal_test,5,1,20815588,10.0,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.003, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.063529728411024,0.03296079030764276,1.9274334085458225,-0.7600374392688748,0.9365375032694834,0.030797385396599406,0.0066922883594178195,0.10756505617891582,0.8253498614105759,0.8248534345227515,0.7793975774466717,0.03378684973353483
deephit,default,inner_oof,0,1,20813903,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06111038323713177,0.041509174627173406,1.4722138849064637,-0.2993566717465181,1.4545589019235599,0.019465574380644647,0.017156435505803175,0.04177708234803279,0.8399456409482065,0.8335170909711294,1.0,0.03719257464439971
deephit,default,inner_oof,3,1,20814914,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06008455559410899,0.041509174627173406,1.447500610016357,-0.28762207740660645,1.6129319861628566,0.0204307063745117,0.01670660643526556,0.046071433056815825,0.8375920051168164,0.8312800978914726,1.0,0.03708611799402225
nfg,default,temporal_test,5,1,20815588,10.0,"{""batch_size"": 256, ""dropout"": 0.1, ""layers"": [32, 32], ""layers_surv"": [32], ""lr"": 0.001, ""weight_decay"": 0.001}",0.03838911724885887,0.03296079030764276,1.1646904364413075,-0.23475585572768254,0.8567862279374626,0.005714354731761153,0.0003593609449310531,0.022017554577705645,0.8227085804218583,0.8220662237727199,0.7793975774466717,0.03099003200404836
deephit,default,inner_oof,6,1,20815925,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.060116437497335175,0.041509174627173406,1.4482686788472248,-0.29907837173809143,1.5466788912686928,0.019724295285759513,0.01514864918987624,0.04481122945274882,0.8402129727630191,0.8337479550256135,1.0,0.037104910946653
deephit,tuned_cindex,temporal_test,11,1,20817610,10.0,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.003, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.060971311874085006,0.03296079030764276,1.849813408750315,-0.7494453322328585,0.8528767222725886,0.028166608832464513,0.003845351261787977,0.10612886617330128,0.8273985270178172,0.8271653892925226,0.7793975774466717,0.03366228512290535
deephit,default,inner_oof,1,1,20814240,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.05749220234895721,0.041509174627173406,1.385048073476285,-0.26430957824047985,1.6284017368218424,0.0191264921659158,0.013986165028993858,0.0449065655019143,0.8387445471194879,0.8322957137848213,1.0,0.036895051871764804
deephit,default,inner_oof,4,1,20815251,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06168534071833259,0.041509174627173406,1.4860652198550617,-0.319430358273294,1.5809131221055228,0.021161057737861727,0.017128758707186123,0.04726505057265462,0.8389004115390478,0.8323555071681749,1.0,0.03726214296043182
deephit,default,inner_oof,2,1,20814577,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06083984574364349,0.041509174627173406,1.4656963500260862,-0.30015830881641636,1.855506175603697,0.022151033192104916,0.017724741475225847,0.05029768546264313,0.838309480023001,0.8318033626311228,1.0,0.03722298338406269
nfg,default,temporal_test,10,1,20817273,10.0,"{""batch_size"": 256, ""dropout"": 0.1, ""layers"": [32, 32], ""layers_surv"": [32], ""lr"": 0.001, ""weight_decay"": 0.001}",0.03898394861425955,0.03296079030764276,1.182737071848067,-0.30451253029997194,0.7884718111292969,0.007464864832304445,0.0008933702125749621,0.023550260520860202,0.8226615997880574,0.8227510596610468,0.7793975774466717,0.031198395876914267
