part,model,split,imp,rep,fold,secs,status,seed_used,mean_risk10,n_epochs
nfg__cvr2f4__imp5,nfg,cv,5,2,4,408.1,fitted,20266107,0.03580419505040263,199
deephit__cvr2f3__imp10,deephit,cv,10,2,3,88.2,fitted,20271106,0.03797906841811012,18
nfg__cvr0f1__imp5,nfg,cv,5,0,1,428.9,fitted,20265904,0.03908022053413379,199
deephit__cvr2f4__imp10,deephit,cv,10,2,4,90.9,fitted,20271107,0.03855263436710523,18
deephit__cvr2f1__imp10,deephit,cv,10,2,1,93.4,fitted,20271104,0.03993425477706681,15
nfg__cvr1f1__imp5,nfg,cv,5,1,1,422.3,fitted,20266004,0.03679200918051993,199
deephit__cvr1f3__imp10,deephit,cv,10,1,3,97.9,fitted,20271006,0.04269181369935331,18
deephit__cvr0f3__imp11,deephit,cv,11,0,3,78.2,fitted,20271906,0.03706633148479045,17
deephit__cvr1f0__imp11,deephit,cv,11,1,0,77.0,fitted,20272003,0.03905081156269263,19
deephit__cvr0f0__imp10,deephit,cv,10,0,0,105.1,fitted,20270903,0.04167255506654747,28
deephit__cvr1f4__imp10,deephit,cv,10,1,4,98.9,fitted,20271007,0.0417872323533902,19
deephit__cvr1f2__imp11,deephit,cv,11,1,2,77.1,fitted,20272005,0.03828428271853634,18
deephit__cvr0f4__imp10,deephit,cv,10,0,4,105.8,fitted,20270907,0.03878562108906036,25
deephit__cvr0f1__imp11,deephit,cv,11,0,1,86.6,fitted,20271904,0.038898787839470525,17
deephit__cvr1f1__imp11,deephit,cv,11,1,1,81.2,fitted,20272004,0.03944337261527791,19
deephit__cvr2f2__imp10,deephit,cv,10,2,2,101.8,fitted,20271105,0.0384794342870218,20
nfg__cvr2f1__imp5,nfg,cv,5,2,1,428.3,fitted,20266104,0.035659761691184934,199
nfg__cvr2f0__imp5,nfg,cv,5,2,0,430.1,fitted,20266103,0.03572897975054691,199
nfg__cvr2f3__imp5,nfg,cv,5,2,3,427.7,fitted,20266106,0.04033417446596168,199
deephit__cvr1f2__imp10,deephit,cv,10,1,2,110.1,fitted,20271005,0.042643568607285916,23
nfg__cvr0f1__imp6,nfg,cv,6,0,1,416.8,fitted,20266904,0.04127804496407986,199
deephit__cvr0f2__imp10,deephit,cv,10,0,2,113.1,fitted,20270905,0.037939241802051445,21
nfg__cvr1f0__imp6,nfg,cv,6,1,0,414.1,fitted,20267003,0.036856848554009114,199
deephit__cvr2f1__imp11,deephit,cv,11,2,1,76.1,fitted,20272104,0.03983097445784126,16
deephit__cvr1f1__imp10,deephit,cv,10,1,1,111.7,fitted,20271004,0.04076855587837408,23
nfg__cvr0f3__imp6,nfg,cv,6,0,3,418.5,fitted,20266906,0.03680566721490502,199
nfg__cvr0f2__imp5,nfg,cv,5,0,2,441.3,fitted,20265905,0.03725520055752473,199
deephit__cvr2f0__imp11,deephit,cv,11,2,0,80.2,fitted,20272103,0.04515497990453781,18
deephit__cvr0f4__imp11,deephit,cv,11,0,4,95.4,fitted,20271907,0.038534050613780665,22
deephit__cvr1f3__imp11,deephit,cv,11,1,3,91.3,fitted,20272006,0.039231261558957224,24
nfg__cvr2f2__imp5,nfg,cv,5,2,2,438.6,fitted,20266105,0.03921978426309606,199
nfg__cvr2f3__imp6,nfg,cv,6,2,3,419.8,fitted,20267106,0.039071565481561224,199
deephit__cvr0f2__imp11,deephit,cv,11,0,2,102.0,fitted,20271905,0.036920803640264004,21
nfg__cvr0f0__imp6,nfg,cv,6,0,0,430.2,fitted,20266903,0.04088042741031538,199
deephit__cvr2f4__imp11,deephit,cv,11,2,4,85.8,fitted,20272107,0.03955296813341114,19
nfg__cvr2f4__imp6,nfg,cv,6,2,4,423.5,fitted,20267107,0.035773726135865484,199
nfg__cvr0f3__imp5,nfg,cv,5,0,3,457.0,fitted,20265906,0.03199794043687974,199
nfg__cvr0f4__imp5,nfg,cv,5,0,4,456.7,fitted,20265907,0.03780925381030039,199
nfg__cvr2f0__imp6,nfg,cv,6,2,0,429.3,fitted,20267103,0.03488124477815009,199
nfg__cvr1f4__imp6,nfg,cv,6,1,4,429.2,fitted,20267007,0.032637747200041575,199
nfg__cvr2f2__imp6,nfg,cv,6,2,2,433.5,fitted,20267105,0.03892931548657265,199
nfg__cvr1f4__imp5,nfg,cv,5,1,4,457.1,fitted,20266007,0.03708814245332432,199
deephit__cvr2f3__imp11,deephit,cv,11,2,3,100.1,fitted,20272106,0.037854935672584175,23
nfg__cvr0f4__imp6,nfg,cv,6,0,4,444.8,fitted,20266907,0.03769513270538952,199
nfg__cvr1f3__imp5,nfg,cv,5,1,3,465.7,fitted,20266006,0.03814408936764497,199
nfg__cvr1f3__imp6,nfg,cv,6,1,3,447.1,fitted,20267006,0.03417317780426874,199
nfg__cvr2f1__imp6,nfg,cv,6,2,1,447.1,fitted,20267104,0.03342919642913195,199
deephit__cvr0f1__imp12,deephit,cv,12,0,1,56.7,fitted,20272904,0.03769064044470406,14
nfg__cvr0f0__imp5,nfg,cv,5,0,0,484.2,fitted,20265903,0.033088687308039405,199
nfg__cvr1f2__imp5,nfg,cv,5,1,2,477.4,fitted,20266005,0.03196349350861143,199
nfg__cvr0f2__imp12,nfg,cv,12,0,2,45.0,fitted,20272905,0.034554460998497696,20
deephit__cvr1f4__imp11,deephit,cv,11,1,4,126.3,fitted,20272007,0.03877842679519958,28
nfg__cvr1f1__imp6,nfg,cv,6,1,1,457.4,fitted,20267004,0.0330386012262761,199
