model,protocol,alpha,sigma,n_rep,eo_median,eo_p10,eo_p90,ici_median,ici_p10,ici_p90,calib_slope_median,calib_slope_p10,calib_slope_p90,cindex_median,cindex_p10,cindex_p90,auc_median,auc_p10,auc_p90,brier_median,brier_p10,brier_p90
deephit,temporal_test,0.2,0.05,5,1.4339451132151015,1.3814803453182385,1.7697942943925538,0.0166159754255507,0.015604426780692038,0.026901421790351362,2.0225869781108337,1.8903550651725984,2.224394380822665,0.8227175196438815,0.8181083851569861,0.8251512962296608,0.8232333857674019,0.8189236508163111,0.825112432768979,0.0311605559426369,0.03110182082817792,0.0317533224753146
deephit,temporal_test,1.0,0.05,10,1.3505770144879872,1.308085858789199,1.408220477399383,0.0113614046061557,0.0102432829916936,0.0136986761290721,0.931794410938067,0.8996474218957627,1.0134861052533897,0.8226125189908565,0.8205976424474051,0.8247036296495501,0.8227944645382798,0.8206249508170087,0.8253355486979573,0.0311839969049308,0.0310427271212616,0.0313384493935987
deephit,temporal_test,0.0,0.1,10,5.961001468453028,5.791551638970982,6.078838724975941,0.1637074515264069,0.1582939466815354,0.1673846532533709,3.43711072185639,3.2461183126181345,4.944470878316069,0.824846986828298,0.820194280668244,0.8257871098605891,0.8245915865532796,0.8203143869625851,0.8253529393296589,0.060319679383217,0.0590567811468563,0.0628419780334457
deephit,temporal_test,0.05,0.1,5,2.3479203512278297,2.28486354456821,2.4368635813810817,0.0451895284724319,0.04327927171432422,0.04805308960426302,1.699256297458915,1.607600082560728,2.1138940187466075,0.8240255134818717,0.8221242556715642,0.82545656800475,0.8243851547659345,0.8225531636034578,0.8250757744325208,0.0340296831776376,0.03395326731202132,0.03449153236140494
deephit,temporal_test,0.1,0.1,5,2.0945031187157657,2.057927911285109,2.1564749019117406,0.0364044745074632,0.035097985990482104,0.03888576109361116,1.604766127850187,1.3762845976529967,1.8870631057227618,0.8207520272245524,0.8202801271123922,0.8265219613362284,0.8212383744427083,0.8208216502130212,0.8265738468827847,0.0331563084742491,0.03295614308905286,0.03362696998305048
deephit,temporal_test,0.2,0.1,5,1.7841615675252651,1.6977844951249568,1.840036033224126,0.0262422052691801,0.02360020869618958,0.0280108045059399,1.3027169017233051,1.1801503813427607,1.4326731824039705,0.8225432784481732,0.8213039674378293,0.8250945860652072,0.8234635833557853,0.8219689714409326,0.8251783040155192,0.0322299747719363,0.031901048067907944,0.03236337965027268
deephit,temporal_test,0.3,0.1,5,1.6130761280881836,1.5734278234028818,1.6584637066000332,0.0211066155311836,0.01931623415618096,0.02192230808338854,1.1780829571119884,1.0965848115434673,1.3850831978742781,0.8258748894692455,0.8208528017085207,0.8273320611197348,0.8263408302679837,0.8214662133589444,0.8273491163190264,0.0316907888163902,0.0316222433756458,0.03175770660750266
deephit,temporal_test,0.5,0.1,5,1.6315785483183909,1.5680355169328515,1.6481980673475427,0.0207651872950796,0.01883894340743298,0.02151828524148436,1.042185548506777,0.900569222520381,1.0560938239369178,0.824078921670176,0.8218643693760197,0.8253570190836668,0.8245259983038644,0.8225584605666145,0.8258145553519216,0.0319324080596937,0.03179947483467312,0.03194194856588836
deephit,temporal_test,0.7,0.1,5,1.4159657050813872,1.357269575463886,1.5297572291426669,0.013802735274658,0.01202518098068064,0.017547507965976383,0.9712254406782052,0.8644792720100558,0.9822813204382694,0.824206462795349,0.8207993117961571,0.8260192618094783,0.8244305389691148,0.8215822903850831,0.8262910083262184,0.0314346719748191,0.0311840175578556,0.03164597994339918
deephit,temporal_test,0.85,0.1,5,1.4290468510175138,1.3314640834315938,1.477322310347932,0.0145107295532076,0.011386590158134499,0.01567318233528392,0.8687658120899872,0.8466768356733884,0.9873048209636583,0.825213190062944,0.8216330135173684,0.8279305983743522,0.8257500657317733,0.8220568766719651,0.8281256620957624,0.0314344563694676,0.0311582064528757,0.03171092272391664
deephit,temporal_test,0.95,0.1,5,1.3942189587973677,1.3388024470798132,1.429508533541098,0.0132405951283708,0.01143232969811852,0.01431639182197702,0.8770000350047833,0.8691733689731845,0.9994060290131177,0.8250902034575238,0.8203409291853936,0.8262397207151234,0.8254599282242904,0.8206809481724311,0.826829372857701,0.0313173426788004,0.03114252786714812,0.03146610362487626
deephit,temporal_test,1.0,0.1,10,1.3505770144879872,1.308085858789199,1.408220477399383,0.0113614046061557,0.0102432829916936,0.0136986761290721,0.931794410938067,0.8996474218957627,1.0134861052533897,0.8226125189908565,0.8205976424474051,0.8247036296495501,0.8227944645382798,0.8206249508170087,0.8253355486979573,0.0311839969049308,0.0310427271212616,0.0313384493935987
deephit,temporal_test,0.0,0.25,10,6.108994402984717,5.563515448755939,6.792828387262448,0.1695129038514549,0.1515593811114704,0.1921144281373483,2.0466175595122063,1.893841297375384,2.305714707358588,0.8185533712464185,0.8170829733791319,0.8223825869524226,0.8178253022264236,0.8164577190295338,0.8222654877060445,0.0800669960671406,0.0705751197381424,0.0919503622369349
deephit,temporal_test,0.2,0.25,5,1.9046194131096463,1.852735335278158,2.0340433166174114,0.0307011725795697,0.02856455093876178,0.03432219966953776,0.8590706391025957,0.8260020186885323,0.8843260908990629,0.8261830841423311,0.8224988155553996,0.8276625259090646,0.8256838662415893,0.8226863072513038,0.8279521464533541,0.0339921635068044,0.03360698027084856,0.034948777022536376
deephit,temporal_test,1.0,0.25,10,1.3505770144879872,1.308085858789199,1.408220477399383,0.0113614046061557,0.0102432829916936,0.0136986761290721,0.931794410938067,0.8996474218957627,1.0134861052533897,0.8226125189908565,0.8205976424474051,0.8247036296495501,0.8227944645382798,0.8206249508170087,0.8253355486979573,0.0311839969049308,0.0310427271212616,0.0313384493935987
deephit,temporal_test,0.0,0.5,10,4.842435222013343,4.461306785728441,5.27921025073547,0.1283386429775316,0.1149401471552647,0.1424913578525507,1.1097124320254286,0.7802147717328979,1.4415303124957688,0.8043948832348506,0.7880416755281142,0.8107691782708233,0.8041043444854383,0.7881452199580754,0.8125648060008256,0.0705925966132539,0.0610278440680564,0.0762649289371434
deephit,temporal_test,0.2,0.5,5,1.5978722797987686,1.5148707630807534,1.729647663170955,0.0197883881576722,0.01774114489330714,0.0241865569595604,0.8162288843691943,0.7995777436890757,0.8514101272849806,0.8254020222845468,0.8218474530357466,0.8262466436354866,0.8254725273574431,0.8222725006340538,0.8261652585159547,0.0323795403129895,0.03214795100058588,0.03292348607662396
deephit,temporal_test,1.0,0.5,10,1.3505770144879872,1.308085858789199,1.408220477399383,0.0113614046061557,0.0102432829916936,0.0136986761290721,0.931794410938067,0.8996474218957627,1.0134861052533897,0.8226125189908565,0.8205976424474051,0.8247036296495501,0.8227944645382798,0.8206249508170087,0.8253355486979573,0.0311839969049308,0.0310427271212616,0.0313384493935987
