panel,model,split,statistic,quantity,value,sd_seed,sd_imputation,sd_single_seed_run,n_seed,n_imp
B,nfg,cv,nb_at_0.2@5y,fmi,0.5376702594939481,0.5673422226816086,,,88.0,95.0
B,nfg,cv,frac_above_0.01@5y,fmi,0.4671512818488156,0.8710579677198029,,,72.0,170.0
B,nfg,cv,frac_above_0.02@5y,fmi,0.4233018620856277,0.8712503413554679,,,62.0,170.0
B,nfg,cv,frac_above_0.03@5y,fmi,0.4831104546956223,0.891596932042517,,,75.0,175.0
B,nfg,cv,frac_above_0.05@5y,fmi,0.4879289280040305,0.8916295130915439,,,77.0,175.0
B,nfg,cv,frac_above_0.075@5y,fmi,0.5079764009480285,0.8911457942568932,,,81.0,175.0
B,nfg,cv,frac_above_0.2@5y,fmi,0.5376702594939481,0.4915679670983116,,,88.0,77.0
B,nfg,cv,nb_all_at_0.01@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.02@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.03@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.05@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.075@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.2@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,mean_pred@10y,fmi,0.4231920793421846,0.8920761488398055,,,62.0,175.0
B,nfg,cv,obs_cif@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,eo@10y,fmi,0.0381164838799958,0.2421644829968542,,,2.0,26.0
B,nfg,cv,calib_intercept@10y,fmi,0.0294382732319122,0.1852132565859248,,,2.0,16.0
B,nfg,cv,calib_slope@10y,fmi,0.0488561439600685,0.1852458213602243,,,3.0,16.0
B,nfg,cv,ici@10y,fmi,0.0305549802794957,0.3456184565350312,,,2.0,45.0
B,nfg,cv,e50@10y,fmi,0.0393294338972722,0.247313268503426,,,2.0,26.0
B,nfg,cv,e90@10y,fmi,0.0583942319195794,0.3464021281116217,,,3.0,45.0
B,nfg,cv,obs_concordant@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,eo_concordant@10y,fmi,0.0381164838799958,0.2421644829968542,,,2.0,26.0
B,nfg,cv,calib_intercept_concordant@10y,fmi,0.0294382732319122,0.1852132565859248,,,2.0,16.0
B,nfg,cv,calib_slope_concordant@10y,fmi,0.0488561439600685,0.1852458213602243,,,3.0,16.0
B,nfg,cv,ici_concordant@10y,fmi,0.0305549802794957,0.3456184565350312,,,2.0,45.0
B,nfg,cv,e50_concordant@10y,fmi,0.0393294338972722,0.247313268503426,,,2.0,26.0
B,nfg,cv,e90_concordant@10y,fmi,0.0583942319195794,0.3464021281116217,,,3.0,45.0
B,nfg,cv,auc@10y,fmi,0.0209773505001291,0.0317431260523364,,,2.0,2.0
B,nfg,cv,cindex@10y,fmi,0.0188387134714205,0.0374388250155613,,,2.0,2.0
B,nfg,cv,auc_marginal_ipcw@10y,fmi,0.0194329250670484,0.030452210659155,,,2.0,2.0
B,nfg,cv,cindex_marginal_ipcw@10y,fmi,0.0176591949172772,0.0278890859790703,,,2.0,2.0
B,nfg,cv,at_risk_fraction@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_at_0.01@10y,fmi,0.0020823929740594,0.0031546912649972,,,2.0,2.0
B,nfg,cv,nb_at_0.02@10y,fmi,0.0046187683126337,0.0090442016622135,,,2.0,2.0
B,nfg,cv,nb_at_0.03@10y,fmi,0.0149426532451047,0.0134234629939317,,,2.0,2.0
B,nfg,cv,nb_at_0.05@10y,fmi,0.0182175613153165,0.029667793697004,,,2.0,2.0
B,nfg,cv,nb_at_0.075@10y,fmi,0.0164141331361722,0.0238874722699833,,,2.0,2.0
B,nfg,cv,nb_at_0.2@10y,fmi,0.1165379189023711,0.2395050633485255,,,8.0,25.0
B,nfg,cv,frac_above_0.01@10y,fmi,0.5425147585169009,0.9135029307783832,,,89.0,180.0
B,nfg,cv,frac_above_0.02@10y,fmi,0.3269629711821066,0.8270410329449541,,,41.0,159.0
B,nfg,cv,frac_above_0.03@10y,fmi,0.3810872799577263,0.8582584852545309,,,53.0,167.0
B,nfg,cv,frac_above_0.05@10y,fmi,0.3739862783171273,0.8840774604164798,,,51.0,173.0
B,nfg,cv,frac_above_0.075@10y,fmi,0.398717986441143,0.8998253518168197,,,56.0,177.0
B,nfg,cv,frac_above_0.2@10y,fmi,0.7065452454394948,0.9541681661517186,,,129.0,190.0
B,nfg,cv,nb_all_at_0.01@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.02@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.03@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.05@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.075@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.2@10y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,mean_pred@15y,fmi,0.4430707559926315,0.9186402661208216,,,66.0,182.0
B,nfg,cv,obs_cif@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,eo@15y,fmi,0.0380710597658019,0.2645393343913926,,,2.0,29.0
B,nfg,cv,calib_intercept@15y,fmi,0.0249351745618212,0.1760162876573383,,,2.0,15.0
B,nfg,cv,calib_slope@15y,fmi,0.0193425592895859,0.2610170314394124,,,2.0,29.0
B,nfg,cv,ici@15y,fmi,0.0140246885035346,0.249897267595751,,,2.0,27.0
B,nfg,cv,e50@15y,fmi,0.0293927126293824,0.1620339240774736,,,2.0,13.0
B,nfg,cv,e90@15y,fmi,0.0339412222567109,0.2153463428142754,,,2.0,21.0
B,nfg,cv,obs_concordant@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,eo_concordant@15y,fmi,0.0380710597658019,0.2645393343913926,,,2.0,29.0
B,nfg,cv,calib_intercept_concordant@15y,fmi,0.0249351745618212,0.1760162876573383,,,2.0,15.0
B,nfg,cv,calib_slope_concordant@15y,fmi,0.0193425592895859,0.2610170314394124,,,2.0,29.0
B,nfg,cv,ici_concordant@15y,fmi,0.0140246885035346,0.249897267595751,,,2.0,27.0
B,nfg,cv,e50_concordant@15y,fmi,0.0293927126293824,0.1620339240774736,,,2.0,13.0
B,nfg,cv,e90_concordant@15y,fmi,0.0339412222567109,0.2153463428142754,,,2.0,21.0
B,nfg,cv,auc@15y,fmi,0.0231766078074,0.0489518392255838,,,2.0,3.0
B,nfg,cv,cindex@15y,fmi,0.0406034238953718,0.0955686082958898,,,2.0,6.0
B,nfg,cv,auc_marginal_ipcw@15y,fmi,0.0130718557925886,0.0293345999223544,,,2.0,2.0
B,nfg,cv,cindex_marginal_ipcw@15y,fmi,0.0117944084583095,0.0276605922600757,,,2.0,2.0
B,nfg,cv,at_risk_fraction@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_at_0.01@15y,fmi,0.0011014781719397,0.0079076603135309,,,2.0,2.0
B,nfg,cv,nb_at_0.02@15y,fmi,0.0022343956314392,0.0058993191867589,,,2.0,2.0
B,nfg,cv,nb_at_0.03@15y,fmi,0.0058342644204977,0.0076314156172645,,,2.0,2.0
B,nfg,cv,nb_at_0.05@15y,fmi,0.0092970699751701,0.0109821202859577,,,2.0,2.0
B,nfg,cv,nb_at_0.075@15y,fmi,0.0090915778858938,0.019753760355843,,,2.0,2.0
B,nfg,cv,nb_at_0.2@15y,fmi,0.0392873877634613,0.0694436611081625,,,2.0,4.0
B,nfg,cv,frac_above_0.01@15y,fmi,0.9399888133761982,1.0548736969003756,,,187.0,
B,nfg,cv,frac_above_0.02@15y,fmi,0.4464653501725253,0.910419867566552,,,67.0,180.0
B,nfg,cv,frac_above_0.03@15y,fmi,0.3312547219090466,0.8558310518815528,,,42.0,166.0
B,nfg,cv,frac_above_0.05@15y,fmi,0.3414399059674954,0.8585026895251167,,,44.0,167.0
B,nfg,cv,frac_above_0.075@15y,fmi,0.4285163314296849,0.896927987867748,,,63.0,176.0
B,nfg,cv,frac_above_0.2@15y,fmi,0.4934693198422069,0.9396758053016032,,,78.0,187.0
B,nfg,cv,nb_all_at_0.01@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.02@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.03@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.05@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.075@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_all_at_0.2@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,temporal,mean_pred@5y,fmi,0.6793763898268085,1.027949848878223,,,123.0,
B,deephit,temporal,obs_cif@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,eo@5y,fmi,0.0554091395676,0.4815913574553372,,,3.0,75.0
B,deephit,temporal,calib_intercept@5y,fmi,0.08124806914296,0.3905091097926649,,,5.0,55.0
B,deephit,temporal,calib_slope@5y,fmi,0.1384491650011603,0.4127622057771941,,,10.0,59.0
B,deephit,temporal,ici@5y,fmi,0.136625734680592,0.6833999897947289,,,10.0,124.0
B,deephit,temporal,e50@5y,fmi,0.241697061942941,0.5610256175341277,,,25.0,94.0
B,deephit,temporal,e90@5y,fmi,0.1961125697905911,0.7270380512251204,,,18.0,134.0
B,deephit,temporal,obs_concordant@5y,fmi,0.0002143852355178,0.0002143852355178,,,2.0,2.0
B,deephit,temporal,eo_concordant@5y,fmi,0.0554091395676,0.4815913574553372,,,3.0,75.0
B,deephit,temporal,calib_intercept_concordant@5y,fmi,0.08124806914296,0.3905091097926649,,,5.0,55.0
B,deephit,temporal,calib_slope_concordant@5y,fmi,0.1384491650011603,0.4127622057771941,,,10.0,59.0
B,deephit,temporal,ici_concordant@5y,fmi,0.136625734680592,0.6833999897947289,,,10.0,124.0
B,deephit,temporal,e50_concordant@5y,fmi,0.241697061942941,0.5610256175341277,,,25.0,94.0
B,deephit,temporal,e90_concordant@5y,fmi,0.1961125697905911,0.7270380512251204,,,18.0,134.0
