model,decile,n,mean_pred,obs_cif,obs_lo,obs_hi,n_events,at_risk_fraction,n_imp,split,horizon_y,flag_sparse
fine_gray,6,4115.788888888889,0.008931106188717602,0.0065631390106444115,0.0041644646436684645,0.009188310737347154,25.18888888888889,0.7951142255972766,30,cv,5.0,False
fine_gray,7,4114.955555555555,0.01361595673056966,0.011188091031307702,0.007920989047346826,0.014684261010268061,40.855555555555554,0.7841396604879206,30,cv,5.0,False
fine_gray,8,4114.2555555555555,0.020868307336548344,0.020548973498121827,0.016126041037489956,0.02524151594598528,75.56666666666666,0.7815913404649021,30,cv,5.0,False
fine_gray,9,4115.0,0.032869961425678065,0.030735184257342087,0.025398088005783533,0.03636666228537822,114.5111111111111,0.7951397326852978,30,cv,5.0,False
fine_gray,10,4116.0,0.06851532664527733,0.07815761852503281,0.06969287957162382,0.08675997130015575,290.8888888888889,0.8181000971817298,30,cv,5.0,False
gbs_naive,1,4115.0,0.0005083747461526109,0.0005825389014436046,1.3640392746012436e-05,0.001424134073834592,2.1,0.8136735520453625,30,cv,5.0,True
gbs_naive,2,4115.0,0.0009064266975733113,0.0008679912733868609,0.00011992458576213144,0.0018498202977576456,3.3555555555555556,0.808618874038072,30,cv,5.0,True
gbs_naive,3,4115.655555555555,0.0014209088156026766,0.0015756263443231506,0.0004840735714744001,0.0029383698289123764,5.855555555555555,0.8050884252715532,30,cv,5.0,True
gbs_naive,4,4114.344444444445,0.002211994461560622,0.003050226137782184,0.0014010018368602122,0.004924957557682282,11.144444444444444,0.7961117533316544,30,cv,5.0,True
gbs_naive,5,4115.0,0.0036285016431251717,0.004412307293019434,0.0024526032771058207,0.006620889508334444,16.6,0.7931551235317943,30,cv,5.0,False
gbs_naive,6,4115.844444444445,0.006101950058321437,0.0068041015088238415,0.004354235384296012,0.009536409754612818,25.766666666666666,0.7876606854047526,30,cv,5.0,False
gbs_naive,7,4115.044444444445,0.01050747504496869,0.011815960784124047,0.008482712885139417,0.015367952480384068,43.63333333333333,0.7803047654701674,30,cv,5.0,False
gbs_naive,8,4114.111111111111,0.018323829206211787,0.017402920952207027,0.013327262247322915,0.02170967216914608,64.23333333333333,0.7906959852650914,30,cv,5.0,False
gbs_naive,9,4115.0,0.03419456695047147,0.032461844301223564,0.026890996476409423,0.03830251019841387,119.56666666666666,0.7882759551775348,30,cv,5.0,False
gbs_naive,10,4116.0,0.09373566866819487,0.0806359791302031,0.07205952979251806,0.08945803635674565,300.74444444444447,0.8153169204189612,30,cv,5.0,False
logistic,1,4115.0,0.0005641576303596964,0.00031281839624980226,0.0,0.000964842232175071,1.0555555555555556,0.7919697583367085,30,cv,5.0,True
logistic,2,4115.0,0.0012197783136480098,0.001267145301401247,0.00026686176827439757,0.002520994145522119,4.633333333333334,0.800175509653031,30,cv,5.0,True
logistic,3,4115.711111111111,0.0020946664719503198,0.001962489504383419,0.0007054238537014181,0.003465797881989319,7.444444444444445,0.7958716461183791,30,cv,5.0,True
logistic,4,4114.288888888889,0.003377338011313471,0.003538599415357217,0.001790526801655063,0.00553303562533989,13.333333333333334,0.8018180446448618,30,cv,5.0,True
logistic,5,4115.0,0.005392763158329431,0.005701281366743349,0.003447067272163124,0.008213567927202684,21.655555555555555,0.8003753206426353,30,cv,5.0,False
logistic,6,4115.7555555555555,0.008545651680516107,0.005278948700900425,0.00312254207594233,0.007666350841741212,20.322222222222223,0.79473727476294,30,cv,5.0,False
logistic,7,4115.044444444445,0.013635844557191672,0.010015367118375392,0.006954769544636866,0.013365803919477597,36.955555555555556,0.7897227188339252,30,cv,5.0,False
logistic,8,4114.2,0.022280545707346368,0.019807474064008717,0.015415884278343173,0.024423994457782636,72.47777777777777,0.7951620407425762,30,cv,5.0,False
logistic,9,4115.0,0.03876648985889384,0.03284038004537833,0.027311992609671955,0.03865054426845485,122.28888888888889,0.7973241528284055,30,cv,5.0,False
logistic,10,4116.0,0.10580272176975125,0.0787510133041235,0.07022143010669989,0.08752872110676416,292.8333333333333,0.811748191340028,30,cv,5.0,False
logistic_cr,1,4115.0,0.0006802226084957733,0.00031921597079670694,0.0,0.0009703541863905401,1.0777777777777777,0.7923990819495073,30,cv,5.0,True
logistic_cr,2,4115.0,0.0013977910592269385,0.0012134319641180027,0.0002576671353669934,0.002458155113228091,4.444444444444445,0.8004266234642905,30,cv,5.0,True
logistic_cr,3,4115.711111111111,0.00231316555712277,0.0019366414055564656,0.0006876760733329328,0.0034218557469316148,7.333333333333333,0.7957366813337998,30,cv,5.0,True
logistic_cr,4,4114.288888888889,0.003611219215716216,0.0035732991376759542,0.0018184376780562435,0.005588965660875133,13.5,0.8026687128462945,30,cv,5.0,True
logistic_cr,5,4115.0,0.005584706142399611,0.005412637126854413,0.003221905278996272,0.007845327900243202,20.444444444444443,0.8000729040097206,30,cv,5.0,False
logistic_cr,6,4115.8,0.00859104358915298,0.005472013393498175,0.0032705060482961994,0.007912834043864657,21.177777777777777,0.7949230916884101,30,cv,5.0,False
logistic_cr,7,4114.955555555555,0.013273531336158143,0.010031720669393892,0.006974523365641848,0.013355025516881428,36.98888888888889,0.7884356837567462,30,cv,5.0,False
logistic_cr,8,4114.2444444444445,0.02091609208971759,0.019868148405119322,0.015499566743095605,0.024508284267514367,72.65555555555555,0.7950481409438142,30,cv,5.0,False
logistic_cr,9,4115.0,0.03488827965466767,0.03274617930775863,0.02725752405913874,0.03845507224035449,122.16666666666667,0.7974051572836506,30,cv,5.0,False
logistic_cr,10,4116.0,0.08808415273787015,0.07890902260315201,0.07034408311787277,0.08768565674371216,293.2111111111111,0.8117886837274592,30,cv,5.0,False
nfg,1,3764.6555555555556,0.0011034197068528796,0.000866890587236327,7.870474414993052e-05,0.0019567853051233176,2.911111111111111,0.8103368638084211,30,cv,5.0,True
nfg,2,3981.0666666666666,0.0012171388295726092,0.0010414288648391693,0.0001958954615956017,0.002144304508124487,3.8777777777777778,0.8074447036421326,30,cv,5.0,True
nfg,3,4400.955555555555,0.0013022197019656187,0.0009443063554468406,0.00017483311000695854,0.001958983709991408,3.811111111111111,0.810877109124196,30,cv,5.0,True
nfg,4,4313.322222222222,0.0015617394267514915,0.0032772675884773224,0.0015988940387588644,0.005173272750417992,12.333333333333334,0.7895698711064619,30,cv,5.0,True
nfg,5,4115.0,0.002531713511747136,0.004129865932247848,0.0022402057729066453,0.0062717395782924245,15.555555555555555,0.7923504792763603,30,cv,5.0,False
nfg,6,4115.9,0.004509791297822428,0.007477402309588694,0.0049051425928080955,0.010317777218029536,28.266666666666666,0.7966692618531337,30,cv,5.0,False
nfg,7,4114.944444444444,0.008537593384162795,0.01047330168156732,0.007329497052219826,0.013880288099763048,38.82222222222222,0.7888616729268624,30,cv,5.0,False
nfg,8,4114.155555555555,0.016249626303391756,0.016003758481838486,0.012131381557746804,0.020165772747322473,58.53333333333333,0.7791013742994561,30,cv,5.0,False
nfg,9,4115.0,0.03251994249579007,0.031321762049040705,0.025824817413065658,0.03700287711985909,115.13333333333334,0.7860699338463615,30,cv,5.0,False
nfg,10,4116.0,0.07398201516484314,0.08403766584402678,0.0752424678592225,0.09304677182090637,313.75555555555553,0.817562898175143,30,cv,5.0,False
rsf_cr,1,4114.2555555555555,5.175790606746728e-05,0.000508394872076848,1.9111245977728627e-05,0.0012192887273478694,1.9222222222222223,0.8179662113981809,30,cv,5.0,True
rsf_cr,2,4115.7444444444445,0.00034995255913417006,0.0011500312200394564,0.0002438236494819628,0.002318207671033637,4.322222222222222,0.8115425041597499,30,cv,5.0,True
rsf_cr,3,4115.844444444445,0.0009640008827490525,0.0021894540085343876,0.0008645246428130972,0.003779659307710859,8.11111111111111,0.7992581591258656,30,cv,5.0,True
rsf_cr,4,4114.155555555555,0.0020599629068653864,0.0031010718298767294,0.0014617737764728446,0.004980176226526809,11.4,0.7961590695947197,30,cv,5.0,True
rsf_cr,5,4115.0,0.003942194479532732,0.00482464192090043,0.0027635439647221913,0.0071502453818473085,17.977777777777778,0.7935628459565276,30,cv,5.0,False
rsf_cr,6,4115.8,0.007133993244892247,0.006724817840794969,0.004259578062900865,0.009426187165140055,25.066666666666666,0.7852368527499334,30,cv,5.0,False
rsf_cr,7,4115.0888888888885,0.01217148550274453,0.010436200306517783,0.007329913789053843,0.013796820563161227,38.74444444444445,0.7874894080979129,30,cv,5.0,False
rsf_cr,8,4114.111111111111,0.020363334353708455,0.01698608679239533,0.013023833305224742,0.02128189257961349,62.86666666666667,0.7850730867980918,30,cv,5.0,False
rsf_cr,9,4115.0,0.03573201734240275,0.033724750448110415,0.02807911064837954,0.039650175920911655,124.71111111111111,0.7860267314702309,30,cv,5.0,False
rsf_cr,10,4116.0,0.0769727981133773,0.07989099778534815,0.07134990178961947,0.08865120724093288,297.8777777777778,0.8165883813842997,30,cv,5.0,False
rsf_naive,1,4114.022222222222,4.531964637118906e-05,0.0004912827716453091,8.461968539866256e-06,0.001213739870990326,1.8444444444444446,0.8192463328546429,30,cv,5.0,True
rsf_naive,2,4115.966666666666,0.0003235336046492081,0.0013247495296010133,0.0003498516442986662,0.002547813289241895,5.011111111111111,0.8098758187564269,30,cv,5.0,True
rsf_naive,3,4115.655555555555,0.0009019549111828494,0.002141268288809057,0.0008235112126066674,0.003714741970811258,7.888888888888889,0.799858878280429,30,cv,5.0,True
rsf_naive,4,4114.355555555556,0.0019455850964765953,0.0031491827512697803,0.00148339716881016,0.005080008756695833,11.533333333333333,0.7965739237194263,30,cv,5.0,True
rsf_naive,5,4115.0,0.00374618465926236,0.004767782895386061,0.0027276726730607807,0.0070893647779510655,17.788888888888888,0.7930984204131227,30,cv,5.0,False
rsf_naive,6,4115.833333333333,0.0067962193756430055,0.006581864985366326,0.004155663748524168,0.009242936538991836,24.644444444444446,0.7869473843656154,30,cv,5.0,False
rsf_naive,7,4115.066666666667,0.011691371850644266,0.010382813656837095,0.007268101211668041,0.013767903222443036,38.56666666666667,0.7908768782458714,30,cv,5.0,False
rsf_naive,8,4114.1,0.02008771054294375,0.016971289104360607,0.01296667640495057,0.021249838212757503,62.644444444444446,0.7838301160282823,30,cv,5.0,False
rsf_naive,9,4115.0,0.03666720175558901,0.03266633956487373,0.02706052561388631,0.03850579299375562,120.61111111111111,0.784517348454165,30,cv,5.0,False
rsf_naive,10,4116.0,0.08729958540460139,0.08117686012873446,0.07262685071026018,0.0900105611665182,302.46666666666664,0.8140778533635676,30,cv,5.0,False
