model,pred_bin,pred,obs,n_imp,split,horizon_y
cox_naive,85,0.044805389148719434,0.0350561756614169,30,temporal,5.0
cox_naive,86,0.04776971314777292,0.03658921426215991,30,temporal,5.0
cox_naive,87,0.05130615656993371,0.03835279561238716,30,temporal,5.0
cox_naive,88,0.05476872785166401,0.04002088959049753,30,temporal,5.0
cox_naive,89,0.0586707304750961,0.041846947932162655,30,temporal,5.0
cox_naive,90,0.06258930997703498,0.04363737475061638,30,temporal,5.0
cox_naive,91,0.06705018513711308,0.04563033942392951,30,temporal,5.0
cox_naive,92,0.07177524396582902,0.04769463126910609,30,temporal,5.0
cox_naive,93,0.07703952041500035,0.04994112767185539,30,temporal,5.0
cox_naive,94,0.083635537932737,0.052688845696858284,30,temporal,5.0
cox_naive,95,0.09155693964977993,0.05589618657215005,30,temporal,5.0
cox_naive,96,0.10112979285569393,0.05966201159754233,30,temporal,5.0
cox_naive,97,0.11721728522309638,0.0657528454579646,30,temporal,5.0
cox_naive,98,0.14331846772374435,0.07514018682287055,30,temporal,5.0
cox_naive,99,0.19508535210459346,0.09251109055777655,30,temporal,5.0
csc_cox,0,0.00038217674819551316,1.2882841815183472e-06,30,temporal,5.0
csc_cox,1,0.00045324503594155444,2.107756094934151e-06,30,temporal,5.0
csc_cox,2,0.0005166146677657969,3.0874885130575494e-06,30,temporal,5.0
csc_cox,3,0.0005875817368527862,4.492886094871936e-06,30,temporal,5.0
csc_cox,4,0.0006491638811953338,6.020037849252536e-06,30,temporal,5.0
csc_cox,5,0.0007105920676028214,7.86897643666462e-06,30,temporal,5.0
