file,source_url,bytes_repo,bytes_fresh,sha256_repo,sha256_fresh,identical,http_status,retrieved_utc
ALB_CR_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/ALB_CR_D.XPT,324880,324880,694c4d9bd6e966b8973f31c64fb89f8577896717f7049551f8fa044c7c366a7b,694c4d9bd6e966b8973f31c64fb89f8577896717f7049551f8fa044c7c366a7b,true,200,2026-09-04T06:33:13Z
BPQ_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/BPQ_D.XPT,788800,788800,089b29fdfbc3d46a93c63e74cfc29376b3168556813d206119d471ee48991bac,089b29fdfbc3d46a93c63e74cfc29376b3168556813d206119d471ee48991bac,true,200,2026-09-04T06:33:13Z
RXQ_RX_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/RXQ_RX_D.XPT,2882560,2882560,76f606f7f0add0c887e1bd1929ecc5d1b347c3e6916a164963a403cff66e1aae,76f606f7f0add0c887e1bd1929ecc5d1b347c3e6916a164963a403cff66e1aae,true,200,2026-09-04T06:33:14Z
DEMO_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DEMO_E.XPT,3498080,3498080,02b8e97703d04bc99769c751881bece51ac9ba68cf18a2992a45d3bdfb856147,02b8e97703d04bc99769c751881bece51ac9ba68cf18a2992a45d3bdfb856147,true,200,2026-09-04T06:33:15Z
BPX_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/BPX_E.XPT,2113200,2113200,5a0303e68e0a4d7ebdbd2bc82f87852c31e44f1733782e107219bed9303baed5,5a0303e68e0a4d7ebdbd2bc82f87852c31e44f1733782e107219bed9303baed5,true,200,2026-09-04T06:33:16Z
BMX_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/BMX_E.XPT,1800240,1800240,b67b50dbd12c9510b49b6348b595b9fd073c422c0c6eac182f90ac57b491a97d,b67b50dbd12c9510b49b6348b595b9fd073c422c0c6eac182f90ac57b491a97d,true,200,2026-09-04T06:33:16Z
TCHOL_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/TCHOL_E.XPT,196400,196400,1e137eb4fcccd0c0e104b4b1849f00b09e8a9077e2143e844a09bb673507fff1,1e137eb4fcccd0c0e104b4b1849f00b09e8a9077e2143e844a09bb673507fff1,true,200,2026-09-04T06:33:17Z
HDL_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/HDL_E.XPT,196400,196400,3c7021fb4411990551c3ea3f86c5b870c325a23b2b1656054d1ec10883bee19c,3c7021fb4411990551c3ea3f86c5b870c325a23b2b1656054d1ec10883bee19c,true,200,2026-09-04T06:33:18Z
GHB_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/GHB_E.XPT,111760,111760,4c0311851825e9e0352c58af193c58d8f7a3af613aa5f522893e3c8f83e53a53,4c0311851825e9e0352c58af193c58d8f7a3af613aa5f522893e3c8f83e53a53,true,200,2026-09-04T06:33:19Z
DIQ_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DIQ_E.XPT,2789600,2789600,fb4d698fbec26bc8a09b2cd0f3019f815114742dd2c37ccac1aaf5e0123394c5,fb4d698fbec26bc8a09b2cd0f3019f815114742dd2c37ccac1aaf5e0123394c5,true,200,2026-09-04T06:33:19Z
